Year,Age at time of death,Sex,Causes of death,Value
2015,35 to 44 years,Males,Diabetes mellitus,3.1
2015,35 to 44 years,Males,Diseases of heart,14.1
2015,35 to 44 years,Males,Influenza and pneumonia,1.4
2015,35 to 44 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,35 to 44 years,Males,Chronic lower respiratory diseases,0.4
2015,35 to 44 years,Females,Malignant neoplasms,27.4
2015,35 to 44 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2015,35 to 44 years,Females,Diabetes mellitus,1.3
2015,35 to 44 years,Females,Diseases of heart,5.3
2015,35 to 44 years,Females,Influenza and pneumonia,1.0
2015,35 to 44 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,35 to 44 years,Females,Chronic lower respiratory diseases,0.8
2015,35 to 39 years,Both sexes,Malignant neoplasms,17.0
2015,35 to 39 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2015,35 to 39 years,Both sexes,Diabetes mellitus,1.6
2015,35 to 39 years,Both sexes,Diseases of heart,6.2
2015,35 to 39 years,Both sexes,Influenza and pneumonia,0.9
2015,35 to 39 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,35 to 39 years,Both sexes,Chronic lower respiratory diseases,0.7
2015,35 to 39 years,Males,Malignant neoplasms,14.7
2015,35 to 39 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,35 to 39 years,Males,Diabetes mellitus,2.1
2015,35 to 39 years,Males,Diseases of heart,9.2
2015,35 to 39 years,Males,Influenza and pneumonia,1.2
2015,35 to 39 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,35 to 39 years,Males,Chronic lower respiratory diseases,0.4
2015,35 to 39 years,Females,Malignant neoplasms,19.3
2015,35 to 39 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,35 to 39 years,Females,Diabetes mellitus,1.1
2015,35 to 39 years,Females,Diseases of heart,3.2
2015,35 to 39 years,Females,Influenza and pneumonia,0.7
2015,35 to 39 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,35 to 39 years,Females,Chronic lower respiratory diseases,0.9
2015,40 to 44 years,Both sexes,Malignant neoplasms,30.3
2015,40 to 44 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,40 to 44 years,Both sexes,Diabetes mellitus,2.8
2015,40 to 44 years,Both sexes,Diseases of heart,13.3
2015,40 to 44 years,Both sexes,Influenza and pneumonia,1.4
2015,40 to 44 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,40 to 44 years,Both sexes,Chronic lower respiratory diseases,0.6
2015,40 to 44 years,Males,Malignant neoplasms,24.8
2015,40 to 44 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,40 to 44 years,Males,Diabetes mellitus,4.1
2015,40 to 44 years,Males,Diseases of heart,19.2
2015,40 to 44 years,Males,Influenza and pneumonia,1.5
2015,40 to 44 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,40 to 44 years,Males,Chronic lower respiratory diseases,0.4
2015,40 to 44 years,Females,Malignant neoplasms,35.8
2015,40 to 44 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,40 to 44 years,Females,Diabetes mellitus,1.5
2015,40 to 44 years,Females,Diseases of heart,7.5
2015,40 to 44 years,Females,Influenza and pneumonia,1.3
2015,40 to 44 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,40 to 44 years,Females,Chronic lower respiratory diseases,0.7
2015,45 to 54 years,Both sexes,Malignant neoplasms,86.9
2015,45 to 54 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.9
2015,45 to 54 years,Both sexes,Diabetes mellitus,6.3
2015,45 to 54 years,Both sexes,Diseases of heart,35.9
2015,45 to 54 years,Both sexes,Influenza and pneumonia,2.9
2015,45 to 54 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,45 to 54 years,Both sexes,Chronic lower respiratory diseases,3.9
2015,45 to 54 years,Males,Malignant neoplasms,80.2
2015,45 to 54 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2015,45 to 54 years,Males,Diabetes mellitus,8.4
2015,45 to 54 years,Males,Diseases of heart,55.0
2015,45 to 54 years,Males,Influenza and pneumonia,3.0
2015,45 to 54 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,45 to 54 years,Males,Chronic lower respiratory diseases,4.0
2015,45 to 54 years,Females,Malignant neoplasms,93.6
2015,45 to 54 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.9
2015,45 to 54 years,Females,Diabetes mellitus,4.1
2015,45 to 54 years,Females,Diseases of heart,16.8
2015,45 to 54 years,Females,Influenza and pneumonia,2.8
2015,45 to 54 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,45 to 54 years,Females,Chronic lower respiratory diseases,3.9
2015,45 to 49 years,Both sexes,Malignant neoplasms,56.8
2015,45 to 49 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,45 to 49 years,Both sexes,Diabetes mellitus,4.6
2015,45 to 49 years,Both sexes,Diseases of heart,23.8
2015,45 to 49 years,Both sexes,Influenza and pneumonia,2.3
2015,45 to 49 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,45 to 49 years,Both sexes,Chronic lower respiratory diseases,2.1
2015,45 to 49 years,Males,Malignant neoplasms,50.7
2015,45 to 49 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,45 to 49 years,Males,Diabetes mellitus,5.9
2015,45 to 49 years,Males,Diseases of heart,37.3
2015,45 to 49 years,Males,Influenza and pneumonia,2.8
2015,45 to 49 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,45 to 49 years,Males,Chronic lower respiratory diseases,1.8
2015,45 to 49 years,Females,Malignant neoplasms,62.9
2015,45 to 49 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2015,45 to 49 years,Females,Diabetes mellitus,3.2
2015,45 to 49 years,Females,Diseases of heart,10.4
2015,45 to 49 years,Females,Influenza and pneumonia,1.9
2015,45 to 49 years,Females,Acute bronchitis and bronchiolitis,0.1
2015,45 to 49 years,Females,Chronic lower respiratory diseases,2.5
2015,50 to 54 years,Both sexes,Malignant neoplasms,113.3
2015,50 to 54 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.1
2015,50 to 54 years,Both sexes,Diabetes mellitus,7.7
2015,50 to 54 years,Both sexes,Diseases of heart,46.6
2015,50 to 54 years,Both sexes,Influenza and pneumonia,3.4
2015,50 to 54 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,50 to 54 years,Both sexes,Chronic lower respiratory diseases,5.5
2015,50 to 54 years,Males,Malignant neoplasms,106.1
2015,50 to 54 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.1
2015,50 to 54 years,Males,Diabetes mellitus,10.5
