Year,Age at time of death,Sex,Causes of death,Value
2019,50 to 54 years,Both sexes,Diseases of heart,44.0
2019,50 to 54 years,Both sexes,Influenza and pneumonia,4.4
2019,50 to 54 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,50 to 54 years,Both sexes,Chronic lower respiratory diseases,4.9
2019,50 to 54 years,Males,Malignant neoplasms,96.1
2019,50 to 54 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.2
2019,50 to 54 years,Males,Diabetes mellitus,9.9
2019,50 to 54 years,Males,Diseases of heart,67.4
2019,50 to 54 years,Males,Influenza and pneumonia,5.1
2019,50 to 54 years,Males,Acute bronchitis and bronchiolitis,0.0
2019,50 to 54 years,Males,Chronic lower respiratory diseases,5.3
2019,50 to 54 years,Females,Malignant neoplasms,100.4
2019,50 to 54 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.1
2019,50 to 54 years,Females,Diabetes mellitus,5.6
2019,50 to 54 years,Females,Diseases of heart,20.7
2019,50 to 54 years,Females,Influenza and pneumonia,3.8
2019,50 to 54 years,Females,Acute bronchitis and bronchiolitis,0.1
2019,50 to 54 years,Females,Chronic lower respiratory diseases,4.5
2019,55 to 64 years,Both sexes,Malignant neoplasms,241.1
2019,55 to 64 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",2.2
2019,55 to 64 years,Both sexes,Diabetes mellitus,16.7
2019,55 to 64 years,Both sexes,Diseases of heart,94.3
2019,55 to 64 years,Both sexes,Influenza and pneumonia,8.5
2019,55 to 64 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,55 to 64 years,Both sexes,Chronic lower respiratory diseases,20.6
2019,55 to 64 years,Males,Malignant neoplasms,259.1
2019,55 to 64 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",3.1
2019,55 to 64 years,Males,Diabetes mellitus,22.3
2019,55 to 64 years,Males,Diseases of heart,142.0
2019,55 to 64 years,Males,Influenza and pneumonia,9.8
2019,55 to 64 years,Males,Acute bronchitis and bronchiolitis,0.0
2019,55 to 64 years,Males,Chronic lower respiratory diseases,22.5
2019,55 to 64 years,Females,Malignant neoplasms,223.4
2019,55 to 64 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.3
2019,55 to 64 years,Females,Diabetes mellitus,11.3
2019,55 to 64 years,Females,Diseases of heart,47.5
2019,55 to 64 years,Females,Influenza and pneumonia,7.2
2019,55 to 64 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,55 to 64 years,Females,Chronic lower respiratory diseases,18.8
2019,55 to 59 years,Both sexes,Malignant neoplasms,183.5
2019,55 to 59 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.6
2019,55 to 59 years,Both sexes,Diabetes mellitus,13.9
2019,55 to 59 years,Both sexes,Diseases of heart,71.8
2019,55 to 59 years,Both sexes,Influenza and pneumonia,6.7
2019,55 to 59 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,55 to 59 years,Both sexes,Chronic lower respiratory diseases,12.3
2019,55 to 59 years,Males,Malignant neoplasms,186.6
2019,55 to 59 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",2.3
2019,55 to 59 years,Males,Diabetes mellitus,18.6
2019,55 to 59 years,Males,Diseases of heart,110.7
2019,55 to 59 years,Males,Influenza and pneumonia,8.1
2019,55 to 59 years,Males,Acute bronchitis and bronchiolitis,0.0
2019,55 to 59 years,Males,Chronic lower respiratory diseases,13.1
2019,55 to 59 years,Females,Malignant neoplasms,180.4
2019,55 to 59 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.9
2019,55 to 59 years,Females,Diabetes mellitus,9.3
2019,55 to 59 years,Females,Diseases of heart,33.4
2019,55 to 59 years,Females,Influenza and pneumonia,5.3
2019,55 to 59 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,55 to 59 years,Females,Chronic lower respiratory diseases,11.5
2019,60 to 64 years,Both sexes,Malignant neoplasms,304.1
2019,60 to 64 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",2.8
2019,60 to 64 years,Both sexes,Diabetes mellitus,19.9
2019,60 to 64 years,Both sexes,Diseases of heart,118.8
2019,60 to 64 years,Both sexes,Influenza and pneumonia,10.4
2019,60 to 64 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,60 to 64 years,Both sexes,Chronic lower respiratory diseases,29.7
2019,60 to 64 years,Males,Malignant neoplasms,339.4
2019,60 to 64 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",4.0
2019,60 to 64 years,Males,Diabetes mellitus,26.5
2019,60 to 64 years,Males,Diseases of heart,176.6
2019,60 to 64 years,Males,Influenza and pneumonia,11.6
2019,60 to 64 years,Males,Acute bronchitis and bronchiolitis,0.0
2019,60 to 64 years,Males,Chronic lower respiratory diseases,32.8
2019,60 to 64 years,Females,Malignant neoplasms,269.9
2019,60 to 64 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.7
2019,60 to 64 years,Females,Diabetes mellitus,13.5
2019,60 to 64 years,Females,Diseases of heart,62.7
2019,60 to 64 years,Females,Influenza and pneumonia,9.2
2019,60 to 64 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,60 to 64 years,Females,Chronic lower respiratory diseases,26.6
2019,65 to 74 years,Both sexes,Malignant neoplasms,576.5
2019,65 to 74 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",8.5
2019,65 to 74 years,Both sexes,Diabetes mellitus,41.2
2019,65 to 74 years,Both sexes,Diseases of heart,233.6
2019,65 to 74 years,Both sexes,Influenza and pneumonia,21.5
2019,65 to 74 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,65 to 74 years,Both sexes,Chronic lower respiratory diseases,74.8
2019,65 to 74 years,Males,Malignant neoplasms,672.6
2019,65 to 74 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",11.1
2019,65 to 74 years,Males,Diabetes mellitus,53.3
2019,65 to 74 years,Males,Diseases of heart,327.0
2019,65 to 74 years,Males,Influenza and pneumonia,25.8
2019,65 to 74 years,Males,Acute bronchitis and bronchiolitis,0.1
2019,65 to 74 years,Males,Chronic lower respiratory diseases,83.2
2019,65 to 74 years,Females,Malignant neoplasms,487.1
2019,65 to 74 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",6.1
2019,65 to 74 years,Females,Diabetes mellitus,29.9
2019,65 to 74 years,Females,Diseases of heart,146.6
2019,65 to 74 years,Females,Influenza and pneumonia,17.5
2019,65 to 74 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,65 to 74 years,Females,Chronic lower respiratory diseases,67.1
2019,65 to 69 years,Both sexes,Malignant neoplasms,469.1
2019,65 to 69 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",5.6
2019,65 to 69 years,Both sexes,Diabetes mellitus,32.2
2019,65 to 69 years,Both sexes,Diseases of heart,183.8
2019,65 to 69 years,Both sexes,Influenza and pneumonia,15.9
2019,65 to 69 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,65 to 69 years,Both sexes,Chronic lower respiratory diseases,56.2
2019,65 to 69 years,Males,Malignant neoplasms,543.3
2019,65 to 69 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",7.2
2019,65 to 69 years,Males,Diabetes mellitus,40.7
2019,65 to 69 years,Males,Diseases of heart,265.5
2019,65 to 69 years,Males,Influenza and pneumonia,19.5
2019,65 to 69 years,Males,Acute bronchitis and bronchiolitis,0.1
2019,65 to 69 years,Males,Chronic lower respiratory diseases,64.1
2019,65 to 69 years,Females,Malignant neoplasms,399.2
2019,65 to 69 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",4.1
2019,65 to 69 years,Females,Diabetes mellitus,24.2
2019,65 to 69 years,Females,Diseases of heart,107.0
2019,65 to 69 years,Females,Influenza and pneumonia,12.6
2019,65 to 69 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,65 to 69 years,Females,Chronic lower respiratory diseases,48.8
2019,70 to 74 years,Both sexes,Malignant neoplasms,708.5
2019,70 to 74 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",12.1
2019,70 to 74 years,Both sexes,Diabetes mellitus,52.3
2019,70 to 74 years,Both sexes,Diseases of heart,294.7
2019,70 to 74 years,Both sexes,Influenza and pneumonia,28.3
2019,70 to 74 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2019,70 to 74 years,Both sexes,Chronic lower respiratory diseases,97.7
2019,70 to 74 years,Males,Malignant neoplasms,833.4
2019,70 to 74 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",15.9
2019,70 to 74 years,Males,Diabetes mellitus,69.0
2019,70 to 74 years,Males,Diseases of heart,403.5
2019,70 to 74 years,Males,Influenza and pneumonia,33.7
2019,70 to 74 years,Males,Acute bronchitis and bronchiolitis,0.0
2019,70 to 74 years,Males,Chronic lower respiratory diseases,106.9
2019,70 to 74 years,Females,Malignant neoplasms,593.7
2019,70 to 74 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",8.6
2019,70 to 74 years,Females,Diabetes mellitus,36.8
2019,70 to 74 years,Females,Diseases of heart,194.6
2019,70 to 74 years,Females,Influenza and pneumonia,23.4
2019,70 to 74 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,70 to 74 years,Females,Chronic lower respiratory diseases,89.3
2019,75 to 84 years,Both sexes,Malignant neoplasms,1177.8
2019,75 to 84 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",28.1
2019,75 to 84 years,Both sexes,Diabetes mellitus,97.0
2019,75 to 84 years,Both sexes,Diseases of heart,668.8
2019,75 to 84 years,Both sexes,Influenza and pneumonia,77.8
2019,75 to 84 years,Both sexes,Acute bronchitis and bronchiolitis,0.2
2019,75 to 84 years,Both sexes,Chronic lower respiratory diseases,220.8
2019,75 to 84 years,Males,Malignant neoplasms,1422.9
2019,75 to 84 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",37.9
2019,75 to 84 years,Males,Diabetes mellitus,122.2
2019,75 to 84 years,Males,Diseases of heart,860.5
2019,75 to 84 years,Males,Influenza and pneumonia,92.0
2019,75 to 84 years,Males,Acute bronchitis and bronchiolitis,0.3
2019,75 to 84 years,Males,Chronic lower respiratory diseases,239.6
2019,75 to 84 years,Females,Malignant neoplasms,972.0
2019,75 to 84 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",20.0
2019,75 to 84 years,Females,Diabetes mellitus,75.8
2019,75 to 84 years,Females,Diseases of heart,507.7
2019,75 to 84 years,Females,Influenza and pneumonia,65.8
2019,75 to 84 years,Females,Acute bronchitis and bronchiolitis,0.2
2019,75 to 84 years,Females,Chronic lower respiratory diseases,205.1
2019,75 to 79 years,Both sexes,Malignant neoplasms,1014.0
2019,75 to 79 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",20.2
2019,75 to 79 years,Both sexes,Diabetes mellitus,78.2
2019,75 to 79 years,Both sexes,Diseases of heart,482.7
2019,75 to 79 years,Both sexes,Influenza and pneumonia,50.0
2019,75 to 79 years,Both sexes,Acute bronchitis and bronchiolitis,0.1
2019,75 to 79 years,Both sexes,Chronic lower respiratory diseases,179.7
2019,75 to 79 years,Males,Malignant neoplasms,1201.1
2019,75 to 79 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",29.4
2019,75 to 79 years,Males,Diabetes mellitus,100.8
2019,75 to 79 years,Males,Diseases of heart,640.4
2019,75 to 79 years,Males,Influenza and pneumonia,62.0
2019,75 to 79 years,Males,Acute bronchitis and bronchiolitis,0.2
2019,75 to 79 years,Males,Chronic lower respiratory diseases,187.8
2019,75 to 79 years,Females,Malignant neoplasms,850.3
2019,75 to 79 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",12.1
2019,75 to 79 years,Females,Diabetes mellitus,58.4
2019,75 to 79 years,Females,Diseases of heart,344.8
2019,75 to 79 years,Females,Influenza and pneumonia,39.6
2019,75 to 79 years,Females,Acute bronchitis and bronchiolitis,0.0
2019,75 to 79 years,Females,Chronic lower respiratory diseases,172.6
2019,80 to 84 years,Both sexes,Malignant neoplasms,1419.8
2019,80 to 84 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",39.9
2019,80 to 84 years,Both sexes,Diabetes mellitus,124.7
2019,80 to 84 years,Both sexes,Diseases of heart,943.6
2019,80 to 84 years,Both sexes,Influenza and pneumonia,118.8
2019,80 to 84 years,Both sexes,Acute bronchitis and bronchiolitis,0.4
2019,80 to 84 years,Both sexes,Chronic lower respiratory diseases,281.6
2019,80 to 84 years,Males,Malignant neoplasms,1769.0
2019,80 to 84 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",51.1
2019,80 to 84 years,Males,Diabetes mellitus,155.5
2019,80 to 84 years,Males,Diseases of heart,1203.9
2019,80 to 84 years,Males,Influenza and pneumonia,138.9
2019,80 to 84 years,Males,Acute bronchitis and bronchiolitis,0.6
2019,80 to 84 years,Males,Chronic lower respiratory diseases,320.3
2019,80 to 84 years,Females,Malignant neoplasms,1143.7
2019,80 to 84 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",31.1
2019,80 to 84 years,Females,Diabetes mellitus,100.3
2019,80 to 84 years,Females,Diseases of heart,737.6
2019,80 to 84 years,Females,Influenza and pneumonia,102.8
2019,80 to 84 years,Females,Acute bronchitis and bronchiolitis,0.2
2019,80 to 84 years,Females,Chronic lower respiratory diseases,251.0
2019,85 and over,Both sexes,Malignant neoplasms,2059.9
2019,85 and over,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",82.7
2019,85 and over,Both sexes,Diabetes mellitus,255.5
2019,85 and over,Both sexes,Diseases of heart,2868.6
2019,85 and over,Both sexes,Influenza and pneumonia,457.0
2019,85 and over,Both sexes,Acute bronchitis and bronchiolitis,1.8
2019,85 and over,Both sexes,Chronic lower respiratory diseases,532.1
2019,85 and over,Males,Malignant neoplasms,2814.1
2019,85 and over,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",105.3
2019,85 and over,Males,Diabetes mellitus,312.0
2019,85 and over,Males,Diseases of heart,3183.7
2019,85 and over,Males,Influenza and pneumonia,507.9
2019,85 and over,Males,Acute bronchitis and bronchiolitis,1.5
2019,85 and over,Males,Chronic lower respiratory diseases,667.5
2019,85 and over,Females,Malignant neoplasms,1627.4
2019,85 and over,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",69.8
2019,85 and over,Females,Diabetes mellitus,223.0
2019,85 and over,Females,Diseases of heart,2687.9
2019,85 and over,Females,Influenza and pneumonia,427.8
2019,85 and over,Females,Acute bronchitis and bronchiolitis,2.3
2019,85 and over,Females,Chronic lower respiratory diseases,454.5
2019,85 to 89 years,Both sexes,Malignant neoplasms,1909.4
2019,85 to 89 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",68.6
2019,85 to 89 years,Both sexes,Diabetes mellitus,203.4
2019,85 to 89 years,Both sexes,Diseases of heart,1868.8
2019,85 to 89 years,Both sexes,Influenza and pneumonia,265.2
2019,85 to 89 years,Both sexes,Acute bronchitis and bronchiolitis,1.0
2019,85 to 89 years,Both sexes,Chronic lower respiratory diseases,427.1
2019,85 to 89 years,Males,Malignant neoplasms,2522.8
2019,85 to 89 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",94.3
2019,85 to 89 years,Males,Diabetes mellitus,251.7
2019,85 to 89 years,Males,Diseases of heart,2296.9
2019,85 to 89 years,Males,Influenza and pneumonia,333.4
2019,85 to 89 years,Males,Acute bronchitis and bronchiolitis,1.5
2019,85 to 89 years,Males,Chronic lower respiratory diseases,533.1
2019,85 to 89 years,Females,Malignant neoplasms,1498.8
2019,85 to 89 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",51.4
2019,85 to 89 years,Females,Diabetes mellitus,171.1
2019,85 to 89 years,Females,Diseases of heart,1582.4
2019,85 to 89 years,Females,Influenza and pneumonia,219.6
2019,85 to 89 years,Females,Acute bronchitis and bronchiolitis,0.7
2019,85 to 89 years,Females,Chronic lower respiratory diseases,356.2
2019,90 years and over,Both sexes,Malignant neoplasms,2297.1
2019,90 years and over,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",105.0
2019,90 years and over,Both sexes,Diabetes mellitus,337.5
2019,90 years and over,Both sexes,Diseases of heart,4444.0
2019,90 years and over,Both sexes,Influenza and pneumonia,759.3
2019,90 years and over,Both sexes,Acute bronchitis and bronchiolitis,3.1
2019,90 years and over,Both sexes,Chronic lower respiratory diseases,697.6
2019,90 years and over,Males,Malignant neoplasms,3413.5
2019,90 years and over,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",128.0
2019,90 years and over,Males,Diabetes mellitus,436.1
2019,90 years and over,Males,Diseases of heart,5008.7
2019,90 years and over,Males,Influenza and pneumonia,867.1
2019,90 years and over,Males,Acute bronchitis and bronchiolitis,0.0
2019,90 years and over,Males,Chronic lower respiratory diseases,944.1
2019,90 years and over,Females,Malignant neoplasms,1802.5
2019,90 years and over,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",94.8
2019,90 years and over,Females,Diabetes mellitus,293.8
2019,90 years and over,Females,Diseases of heart,4193.8
2019,90 years and over,Females,Influenza and pneumonia,711.6
2019,90 years and over,Females,Acute bronchitis and bronchiolitis,4.4
2019,90 years and over,Females,Chronic lower respiratory diseases,588.4
2020,All ages,Both sexes,Malignant neoplasms,213.8
2020,All ages,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",4.9
2020,All ages,Both sexes,Diabetes mellitus,20.1
2020,All ages,Both sexes,Diseases of heart,143.2
2020,All ages,Both sexes,Influenza and pneumonia,15.9
2020,All ages,Both sexes,Acute bronchitis and bronchiolitis,0.1
2020,All ages,Both sexes,Chronic lower respiratory diseases,31.2
2020,All ages,Males,Malignant neoplasms,227.7
2020,All ages,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",5.5
2020,All ages,Males,Diabetes mellitus,22.8
2020,All ages,Males,Diseases of heart,158.0
2020,All ages,Males,Influenza and pneumonia,15.9
2020,All ages,Males,Acute bronchitis and bronchiolitis,0.0
2020,All ages,Males,Chronic lower respiratory diseases,31.8
2020,All ages,Females,Malignant neoplasms,200.0
2020,All ages,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",4.3
2020,All ages,Females,Diabetes mellitus,17.5
2020,All ages,Females,Diseases of heart,128.6
2020,All ages,Females,Influenza and pneumonia,15.9
2020,All ages,Females,Acute bronchitis and bronchiolitis,0.1
2020,All ages,Females,Chronic lower respiratory diseases,30.6
2020,1 to 14 years,Both sexes,Malignant neoplasms,2.0
2020,1 to 14 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2020,1 to 14 years,Both sexes,Diabetes mellitus,0.3
2020,1 to 14 years,Both sexes,Diseases of heart,0.2
2020,1 to 14 years,Both sexes,Influenza and pneumonia,0.3
2020,1 to 14 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,1 to 14 years,Both sexes,Chronic lower respiratory diseases,0.1
2020,1 to 14 years,Males,Malignant neoplasms,2.0
2020,1 to 14 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2020,1 to 14 years,Males,Diabetes mellitus,0.1
2020,1 to 14 years,Males,Diseases of heart,0.2
2020,1 to 14 years,Males,Influenza and pneumonia,0.2
2020,1 to 14 years,Males,Acute bronchitis and bronchiolitis,0.0
2020,1 to 14 years,Males,Chronic lower respiratory diseases,0.2
2020,1 to 14 years,Females,Malignant neoplasms,2.0
2020,1 to 14 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2020,1 to 14 years,Females,Diabetes mellitus,0.5
2020,1 to 14 years,Females,Diseases of heart,0.3
2020,1 to 14 years,Females,Influenza and pneumonia,0.4
2020,1 to 14 years,Females,Acute bronchitis and bronchiolitis,0.0
2020,1 to 14 years,Females,Chronic lower respiratory diseases,0.1
2020,1 to 4 years,Both sexes,Malignant neoplasms,1.8
2020,1 to 4 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2020,1 to 4 years,Both sexes,Diabetes mellitus,0.0
2020,1 to 4 years,Both sexes,Diseases of heart,0.2
2020,1 to 4 years,Both sexes,Influenza and pneumonia,0.5
2020,1 to 4 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,1 to 4 years,Both sexes,Chronic lower respiratory diseases,0.0
2020,1 to 4 years,Males,Malignant neoplasms,1.6
2020,1 to 4 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2020,1 to 4 years,Males,Diabetes mellitus,0.0
2020,1 to 4 years,Males,Diseases of heart,0.3
2020,1 to 4 years,Males,Influenza and pneumonia,0.4
2020,1 to 4 years,Males,Acute bronchitis and bronchiolitis,0.0
2020,1 to 4 years,Males,Chronic lower respiratory diseases,0.0
2020,1 to 4 years,Females,Malignant neoplasms,2.0
2020,1 to 4 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2020,1 to 4 years,Females,Diabetes mellitus,0.0
2020,1 to 4 years,Females,Diseases of heart,0.1
2020,1 to 4 years,Females,Influenza and pneumonia,0.7
2020,1 to 4 years,Females,Acute bronchitis and bronchiolitis,0.0
2020,1 to 4 years,Females,Chronic lower respiratory diseases,0.0
2020,5 to 9 years,Both sexes,Malignant neoplasms,2.2
2020,5 to 9 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2020,5 to 9 years,Both sexes,Diabetes mellitus,0.0
2020,5 to 9 years,Both sexes,Diseases of heart,0.1
2020,5 to 9 years,Both sexes,Influenza and pneumonia,0.1
2020,5 to 9 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,5 to 9 years,Both sexes,Chronic lower respiratory diseases,0.0
2020,5 to 9 years,Males,Malignant neoplasms,2.0
2020,5 to 9 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2020,5 to 9 years,Males,Diabetes mellitus,0.0
2020,5 to 9 years,Males,Diseases of heart,0.3
2020,5 to 9 years,Males,Influenza and pneumonia,0.1
2020,5 to 9 years,Males,Acute bronchitis and bronchiolitis,0.0
2020,5 to 9 years,Males,Chronic lower respiratory diseases,0.0
2020,5 to 9 years,Females,Malignant neoplasms,2.4
2020,5 to 9 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2020,5 to 9 years,Females,Diabetes mellitus,0.0
2020,5 to 9 years,Females,Diseases of heart,0.0
2020,5 to 9 years,Females,Influenza and pneumonia,0.2
2020,5 to 9 years,Females,Acute bronchitis and bronchiolitis,0.0
2020,5 to 9 years,Females,Chronic lower respiratory diseases,0.0
2020,10 to 14 years,Both sexes,Malignant neoplasms,2.0
2020,10 to 14 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2020,10 to 14 years,Both sexes,Diabetes mellitus,0.3
2020,10 to 14 years,Both sexes,Diseases of heart,0.3
2020,10 to 14 years,Both sexes,Influenza and pneumonia,0.2
2020,10 to 14 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,10 to 14 years,Both sexes,Chronic lower respiratory diseases,0.1
2020,10 to 14 years,Males,Malignant neoplasms,2.4
2020,10 to 14 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2020,10 to 14 years,Males,Diabetes mellitus,0.1
2020,10 to 14 years,Males,Diseases of heart,0.2
2020,10 to 14 years,Males,Influenza and pneumonia,0.2
2020,10 to 14 years,Males,Acute bronchitis and bronchiolitis,0.0
2020,10 to 14 years,Males,Chronic lower respiratory diseases,0.2
2020,10 to 14 years,Females,Malignant neoplasms,1.6
2020,10 to 14 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2020,10 to 14 years,Females,Diabetes mellitus,0.5
2020,10 to 14 years,Females,Diseases of heart,0.4
2020,10 to 14 years,Females,Influenza and pneumonia,0.3
2020,10 to 14 years,Females,Acute bronchitis and bronchiolitis,0.0
2020,10 to 14 years,Females,Chronic lower respiratory diseases,0.1
2020,15 to 24,Both sexes,Malignant neoplasms,2.9
2020,15 to 24,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2020,15 to 24,Both sexes,Diabetes mellitus,0.3
2020,15 to 24,Both sexes,Diseases of heart,1.0
2020,15 to 24,Both sexes,Influenza and pneumonia,0.3
2020,15 to 24,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,15 to 24,Both sexes,Chronic lower respiratory diseases,0.2
2020,15 to 24,Males,Malignant neoplasms,3.4
2020,15 to 24,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2020,15 to 24,Males,Diabetes mellitus,0.4
2020,15 to 24,Males,Diseases of heart,1.3
2020,15 to 24,Males,Influenza and pneumonia,0.4
2020,15 to 24,Males,Acute bronchitis and bronchiolitis,0.0
2020,15 to 24,Males,Chronic lower respiratory diseases,0.3
2020,15 to 24,Females,Malignant neoplasms,2.3
2020,15 to 24,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2020,15 to 24,Females,Diabetes mellitus,0.3
2020,15 to 24,Females,Diseases of heart,0.7
2020,15 to 24,Females,Influenza and pneumonia,0.2
2020,15 to 24,Females,Acute bronchitis and bronchiolitis,0.0
2020,15 to 24,Females,Chronic lower respiratory diseases,0.3
2020,15 to 19 years,Both sexes,Malignant neoplasms,3.2
2020,15 to 19 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2020,15 to 19 years,Both sexes,Diabetes mellitus,0.3
2020,15 to 19 years,Both sexes,Diseases of heart,0.8
2020,15 to 19 years,Both sexes,Influenza and pneumonia,0.2
2020,15 to 19 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,15 to 19 years,Both sexes,Chronic lower respiratory diseases,0.2
2020,15 to 19 years,Males,Malignant neoplasms,4.2
2020,15 to 19 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2020,15 to 19 years,Males,Diabetes mellitus,0.5
2020,15 to 19 years,Males,Diseases of heart,0.9
2020,15 to 19 years,Males,Influenza and pneumonia,0.3
2020,15 to 19 years,Males,Acute bronchitis and bronchiolitis,0.0
2020,15 to 19 years,Males,Chronic lower respiratory diseases,0.4
2020,15 to 19 years,Females,Malignant neoplasms,2.2
2020,15 to 19 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2020,15 to 19 years,Females,Diabetes mellitus,0.1
