Year,Series,Units,Geography,Value
1991/01,Land Consumption Rate,Percentage (%),"Ottawa - Gatineau (Quebec part), Quebec",25.07
1991/01,Land Consumption Rate,Percentage (%),"Peterborough, Ontario",15.68
1991/01,Land Consumption Rate,Percentage (%),"Quebec, Quebec",40.75
1991/01,Land Consumption Rate,Percentage (%),"Regina, Saskatchewan",21.77
1991/01,Land Consumption Rate,Percentage (%),"Saguenay, Quebec",16.71
1991/01,Land Consumption Rate,Percentage (%),"Saint John, New Brunswick",23.77
1991/01,Land Consumption Rate,Percentage (%),"Saskatoon, Saskatchewan",30.28
1991/01,Land Consumption Rate,Percentage (%),"Sherbrooke, Quebec",16.93
1991/01,Land Consumption Rate,Percentage (%),"St. Catharines - Niagara, Ontario",39.4
1991/01,Land Consumption Rate,Percentage (%),"St. John's, Newfoundland and Labrador",16.78
1991/01,Land Consumption Rate,Percentage (%),"Thunder Bay, Ontario",18.54
1991/01,Land Consumption Rate,Percentage (%),"Toronto, Ontario",208.12
1991/01,Land Consumption Rate,Percentage (%),"Trois-Rivières, Quebec",13.0
1991/01,Land Consumption Rate,Percentage (%),"Vancouver, British Columbia",95.89
1991/01,Land Consumption Rate,Percentage (%),"Victoria, British Columbia",21.62
1991/01,Land Consumption Rate,Percentage (%),"Windsor, Ontario",24.88
1991/01,Land Consumption Rate,Percentage (%),"Winnipeg, Manitoba",53.45
2001/11,Land Consumption Rate,Percentage (%),,1454.46
2001/11,Land Consumption Rate,Percentage (%),"Abbotsford - Mission, British Columbia",13.81
2001/11,Land Consumption Rate,Percentage (%),"Barrie, Ontario",15.42
2001/11,Land Consumption Rate,Percentage (%),"Brantford, Ontario",15.37
2001/11,Land Consumption Rate,Percentage (%),"Calgary, Alberta",69.87
2001/11,Land Consumption Rate,Percentage (%),"Edmonton, Alberta",109.26
2001/11,Land Consumption Rate,Percentage (%),"Greater Sudbury, Ontario",26.8
2001/11,Land Consumption Rate,Percentage (%),"Guelph, Ontario",11.13
2001/11,Land Consumption Rate,Percentage (%),"Halifax, Nova Scotia",46.6
2001/11,Land Consumption Rate,Percentage (%),"Hamilton, Ontario",41.9
2001/11,Land Consumption Rate,Percentage (%),"Kelowna, British Columbia",18.36
2001/11,Land Consumption Rate,Percentage (%),"Kingston, Ontario",20.7
2001/11,Land Consumption Rate,Percentage (%),"Kitchener - Cambridge - Waterloo, Ontario",28.03
2001/11,Land Consumption Rate,Percentage (%),"London, Ontario",41.35
2001/11,Land Consumption Rate,Percentage (%),"Moncton, New Brunswick",18.14
2001/11,Land Consumption Rate,Percentage (%),"Montreal, Quebec",156.99
2001/11,Land Consumption Rate,Percentage (%),"Oshawa, Ontario",23.49
2001/11,Land Consumption Rate,Percentage (%),"Ottawa - Gatineau (Ontario part), Ontario",63.44
2001/11,Land Consumption Rate,Percentage (%),"Ottawa - Gatineau (Quebec part), Quebec",32.71
2001/11,Land Consumption Rate,Percentage (%),"Peterborough, Ontario",16.51
2001/11,Land Consumption Rate,Percentage (%),"Quebec, Quebec",47.4
2001/11,Land Consumption Rate,Percentage (%),"Regina, Saskatchewan",22.87
2001/11,Land Consumption Rate,Percentage (%),"Saguenay, Quebec",18.71
2001/11,Land Consumption Rate,Percentage (%),"Saint John, New Brunswick",24.88
2001/11,Land Consumption Rate,Percentage (%),"Saskatoon, Saskatchewan",31.84
2001/11,Land Consumption Rate,Percentage (%),"Sherbrooke, Quebec",20.24
2001/11,Land Consumption Rate,Percentage (%),"St. Catharines - Niagara, Ontario",41.1
2001/11,Land Consumption Rate,Percentage (%),"St. John's, Newfoundland and Labrador",17.96
2001/11,Land Consumption Rate,Percentage (%),"Thunder Bay, Ontario",19.18
2001/11,Land Consumption Rate,Percentage (%),"Toronto, Ontario",218.28
2001/11,Land Consumption Rate,Percentage (%),"Trois-Rivières, Quebec",14.65
2001/11,Land Consumption Rate,Percentage (%),"Vancouver, British Columbia",99.42
2001/11,Land Consumption Rate,Percentage (%),"Victoria, British Columbia",23.21
2001/11,Land Consumption Rate,Percentage (%),"Windsor, Ontario",25.72
2001/11,Land Consumption Rate,Percentage (%),"Winnipeg, Manitoba",55.79
1971/91,Population Growth Rate,Percentage (%),,0.014
1971/91,Population Growth Rate,Percentage (%),"Abbotsford - Mission, British Columbia",0.05
1971/91,Population Growth Rate,Percentage (%),"Barrie, Ontario",0.036
1971/91,Population Growth Rate,Percentage (%),"Brantford, Ontario",0.007
1971/91,Population Growth Rate,Percentage (%),"Calgary, Alberta",0.029
1971/91,Population Growth Rate,Percentage (%),"Edmonton, Alberta",0.023
1971/91,Population Growth Rate,Percentage (%),"Greater Sudbury, Ontario",-0.002
1971/91,Population Growth Rate,Percentage (%),"Guelph, Ontario",0.02
1971/91,Population Growth Rate,Percentage (%),"Halifax, Nova Scotia",0.011
1971/91,Population Growth Rate,Percentage (%),"Hamilton, Ontario",0.009
1971/91,Population Growth Rate,Percentage (%),"Kelowna, British Columbia",0.04
1971/91,Population Growth Rate,Percentage (%),"Kingston, Ontario",0.012
1971/91,Population Growth Rate,Percentage (%),"Kitchener - Cambridge - Waterloo, Ontario",0.02
1971/91,Population Growth Rate,Percentage (%),"London, Ontario",0.013
1971/91,Population Growth Rate,Percentage (%),"Moncton, New Brunswick",0.011
1971/91,Population Growth Rate,Percentage (%),"Montreal, Quebec",0.007
1971/91,Population Growth Rate,Percentage (%),"Oshawa, Ontario",0.024
1971/91,Population Growth Rate,Percentage (%),"Ottawa - Gatineau (Ontario part), Ontario",0.019
1971/91,Population Growth Rate,Percentage (%),"Ottawa - Gatineau (Quebec part), Quebec",0.018
1971/91,Population Growth Rate,Percentage (%),"Peterborough, Ontario",0.012
1971/91,Population Growth Rate,Percentage (%),"Quebec, Quebec",0.012
1971/91,Population Growth Rate,Percentage (%),"Regina, Saskatchewan",0.013
1971/91,Population Growth Rate,Percentage (%),"Saguenay, Quebec",0.004
1971/91,Population Growth Rate,Percentage (%),"Saint John, New Brunswick",0.006
1971/91,Population Growth Rate,Percentage (%),"Saskatoon, Saskatchewan",0.02
1971/91,Population Growth Rate,Percentage (%),"Sherbrooke, Quebec",0.012
1971/91,Population Growth Rate,Percentage (%),"St. Catharines - Niagara, Ontario",0.005
1971/91,Population Growth Rate,Percentage (%),"St. John's, Newfoundland and Labrador",0.012
1971/91,Population Growth Rate,Percentage (%),"Thunder Bay, Ontario",0.003
1971/91,Population Growth Rate,Percentage (%),"Toronto, Ontario",0.018
1971/91,Population Growth Rate,Percentage (%),"Trois-Rivières, Quebec",0.007
1971/91,Population Growth Rate,Percentage (%),"Vancouver, British Columbia",0.019
1971/91,Population Growth Rate,Percentage (%),"Victoria, British Columbia",0.017
1971/91,Population Growth Rate,Percentage (%),"Windsor, Ontario",0.001
1971/91,Population Growth Rate,Percentage (%),"Winnipeg, Manitoba",0.008
1991/01,Population Growth Rate,Percentage (%),,0.012
1991/01,Population Growth Rate,Percentage (%),"Abbotsford - Mission, British Columbia",0.026
1991/01,Population Growth Rate,Percentage (%),"Barrie, Ontario",0.042
1991/01,Population Growth Rate,Percentage (%),"Brantford, Ontario",0.007
1991/01,Population Growth Rate,Percentage (%),"Calgary, Alberta",0.023
1991/01,Population Growth Rate,Percentage (%),"Edmonton, Alberta",0.011
1991/01,Population Growth Rate,Percentage (%),"Greater Sudbury, Ontario",-0.004
1991/01,Population Growth Rate,Percentage (%),"Guelph, Ontario",0.018
1991/01,Population Growth Rate,Percentage (%),"Halifax, Nova Scotia",0.007
1991/01,Population Growth Rate,Percentage (%),"Hamilton, Ontario",0.01
1991/01,Population Growth Rate,Percentage (%),"Kelowna, British Columbia",0.028
1991/01,Population Growth Rate,Percentage (%),"Kingston, Ontario",0.006
1991/01,Population Growth Rate,Percentage (%),"Kitchener - Cambridge - Waterloo, Ontario",0.015
1991/01,Population Growth Rate,Percentage (%),"London, Ontario",0.008
1991/01,Population Growth Rate,Percentage (%),"Moncton, New Brunswick",0.009
1991/01,Population Growth Rate,Percentage (%),"Montreal, Quebec",0.005
1991/01,Population Growth Rate,Percentage (%),"Oshawa, Ontario",0.021
