Year,Geography,Industry,GeoCode,Value
2015,Prince Edward Island,"Paint, coating and adhesive manufacturing",11,
2015,Prince Edward Island,"Soap, cleaning compound and toilet preparation manufacturing",11,
2015,Prince Edward Island,Other chemical product manufacturing,11,
2015,Prince Edward Island,Plastics and rubber products manufacturing,11,
2015,Prince Edward Island,Plastic product manufacturing,11,
2015,Prince Edward Island,Rubber product manufacturing,11,
2015,Prince Edward Island,Durable goods,11,2.64
2015,Prince Edward Island,Wood product manufacturing,11,0.16
2015,Prince Edward Island,Sawmills and wood preservation,11,
2015,Prince Edward Island,"Veneer, plywood and engineered wood product manufacturing",11,
2015,Prince Edward Island,Other wood product manufacturing,11,
2015,Prince Edward Island,Non-metallic mineral product manufacturing,11,
2015,Prince Edward Island,Clay product and refractory manufacturing,11,
2015,Prince Edward Island,Glass and glass product manufacturing,11,
2015,Prince Edward Island,Cement and concrete product manufacturing,11,
2015,Prince Edward Island,Lime and gypsum product manufacturing,11,
2015,Prince Edward Island,Other non-metallic mineral product manufacturing,11,
2015,Prince Edward Island,Primary metal manufacturing,11,
2015,Prince Edward Island,Iron and steel mills and ferro-alloy manufacturing,11,
2015,Prince Edward Island,Steel product manufacturing from purchased steel,11,
2015,Prince Edward Island,Alumina and aluminum production and processing,11,
2015,Prince Edward Island,Non-ferrous metal (except aluminum) production and processing,11,
2015,Prince Edward Island,Foundries,11,
2015,Prince Edward Island,Fabricated metal product manufacturing,11,
2015,Prince Edward Island,Forging and stamping,11,
2015,Prince Edward Island,Cutlery and hand tool manufacturing,11,
2015,Prince Edward Island,Architectural and structural metals manufacturing,11,
2015,Prince Edward Island,"Boiler, tank and shipping container manufacturing",11,
2015,Prince Edward Island,Hardware manufacturing,11,
2015,Prince Edward Island,Spring and wire product manufacturing,11,
2015,Prince Edward Island,"Machine shops, turned product, and screw, nut and bolt manufacturing",11,
2015,Prince Edward Island,"Coating, engraving, cold and heat treating and allied activities",11,
2015,Prince Edward Island,Other fabricated metal product manufacturing,11,
2015,Prince Edward Island,Machinery manufacturing,11,
2015,Prince Edward Island,"Agricultural, construction and mining machinery manufacturing",11,
2015,Prince Edward Island,Industrial machinery manufacturing,11,
2015,Prince Edward Island,Commercial and service industry machinery manufacturing,11,
2015,Prince Edward Island,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",11,
2015,Prince Edward Island,Metalworking machinery manufacturing,11,
2015,Prince Edward Island,"Engine, turbine and power transmission equipment manufacturing",11,
2015,Prince Edward Island,Other general-purpose machinery manufacturing,11,
2015,Prince Edward Island,Computer and electronic product manufacturing,11,
2015,Prince Edward Island,Computer and peripheral equipment manufacturing,11,
2015,Prince Edward Island,Communications equipment manufacturing,11,
2015,Prince Edward Island,Audio and video equipment manufacturing,11,
2015,Prince Edward Island,Semiconductor and other electronic component manufacturing,11,
2015,Prince Edward Island,"Navigational, measuring, medical and control instruments manufacturing",11,
2015,Prince Edward Island,Manufacturing and reproducing magnetic and optical media,11,
2015,Prince Edward Island,"Electrical equipment, appliance and component manufacturing",11,
2015,Prince Edward Island,Electric lighting equipment manufacturing,11,
2015,Prince Edward Island,Household appliance manufacturing,11,
2015,Prince Edward Island,Electrical equipment manufacturing,11,
2015,Prince Edward Island,Other electrical equipment and component manufacturing,11,
2015,Prince Edward Island,Transportation equipment manufacturing,11,0.95
2015,Prince Edward Island,Motor vehicle manufacturing,11,
2015,Prince Edward Island,Motor vehicle body and trailer manufacturing,11,
2015,Prince Edward Island,Motor vehicle parts manufacturing,11,
2015,Prince Edward Island,Aerospace product and parts manufacturing,11,
2015,Prince Edward Island,Railroad rolling stock manufacturing,11,
2015,Prince Edward Island,Ship and boat building,11,
2015,Prince Edward Island,Other transportation equipment manufacturing,11,
2015,Prince Edward Island,Furniture and related product manufacturing,11,
2015,Prince Edward Island,Household and institutional furniture and kitchen cabinet manufacturing,11,
2015,Prince Edward Island,Office furniture (including fixtures) manufacturing,11,
2015,Prince Edward Island,Other furniture-related product manufacturing,11,
2015,Prince Edward Island,Miscellaneous manufacturing,11,
2015,Prince Edward Island,Medical equipment and supplies manufacturing,11,
2015,Prince Edward Island,Other miscellaneous manufacturing,11,
2015,Nova Scotia,Total manufacturing,12,7.45
2015,Nova Scotia,Non-durable goods,12,4.56
2015,Nova Scotia,Food manufacturing,12,2.02
2015,Nova Scotia,Animal food manufacturing,12,
2015,Nova Scotia,Grain and oilseed milling,12,
2015,Nova Scotia,Sugar and confectionery product manufacturing,12,
2015,Nova Scotia,Fruit and vegetable preserving and specialty food manufacturing,12,
2015,Nova Scotia,Dairy product manufacturing,12,0.22
2015,Nova Scotia,Meat product manufacturing,12,
2015,Nova Scotia,Seafood product preparation and packaging,12,1.12
2015,Nova Scotia,Bakeries and tortilla manufacturing,12,0.24
2015,Nova Scotia,Other food manufacturing,12,
2015,Nova Scotia,Beverage and tobacco product manufacturing,12,0.21
2015,Nova Scotia,Beverage manufacturing,12,
2015,Nova Scotia,Tobacco manufacturing,12,
2015,Nova Scotia,Cannabis product manufacturing,12,
2015,Nova Scotia,Textile mills,12,
2015,Nova Scotia,"Fibre, yarn and thread mills",12,
2015,Nova Scotia,Fabric mills,12,
2015,Nova Scotia,Textile and fabric finishing and fabric coating,12,
2015,Nova Scotia,Textile product mills,12,0.1
2015,Nova Scotia,Textile furnishings mills,12,
2015,Nova Scotia,Other textile product mills,12,
2015,Nova Scotia,Apparel manufacturing,12,0.12
2015,Nova Scotia,Apparel knitting mills,12,
2015,Nova Scotia,Cut and sew clothing manufacturing,12,
2015,Nova Scotia,Clothing accessories and other clothing manufacturing,12,
2015,Nova Scotia,Leather and allied product manufacturing,12,
2015,Nova Scotia,Leather and hide tanning and finishing,12,
2015,Nova Scotia,Footwear manufacturing,12,
2015,Nova Scotia,Other leather and allied product manufacturing,12,
2015,Nova Scotia,Paper manufacturing,12,0.26
2015,Nova Scotia,"Pulp, paper and paperboard mills",12,
2015,Nova Scotia,Converted paper product manufacturing,12,
2015,Nova Scotia,Printing and related support activities,12,0.17
2015,Nova Scotia,Petroleum and coal product manufacturing,12,
2015,Nova Scotia,Chemical manufacturing,12,0.17
2015,Nova Scotia,Basic chemical manufacturing,12,
2015,Nova Scotia,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",12,
2015,Nova Scotia,"Pesticide, fertilizer and other agricultural chemical manufacturing",12,
2015,Nova Scotia,Pharmaceutical and medicine manufacturing,12,
2015,Nova Scotia,"Paint, coating and adhesive manufacturing",12,0.02
2015,Nova Scotia,"Soap, cleaning compound and toilet preparation manufacturing",12,
2015,Nova Scotia,Other chemical product manufacturing,12,0.02
2015,Nova Scotia,Plastics and rubber products manufacturing,12,1.3
2015,Nova Scotia,Plastic product manufacturing,12,
2015,Nova Scotia,Rubber product manufacturing,12,
2015,Nova Scotia,Durable goods,12,2.89
2015,Nova Scotia,Wood product manufacturing,12,0.46
2015,Nova Scotia,Sawmills and wood preservation,12,0.23
2015,Nova Scotia,"Veneer, plywood and engineered wood product manufacturing",12,0.09
2015,Nova Scotia,Other wood product manufacturing,12,0.14
2015,Nova Scotia,Non-metallic mineral product manufacturing,12,0.17
2015,Nova Scotia,Clay product and refractory manufacturing,12,
2015,Nova Scotia,Glass and glass product manufacturing,12,
2015,Nova Scotia,Cement and concrete product manufacturing,12,0.15
2015,Nova Scotia,Lime and gypsum product manufacturing,12,
2015,Nova Scotia,Other non-metallic mineral product manufacturing,12,
2015,Nova Scotia,Primary metal manufacturing,12,
2015,Nova Scotia,Iron and steel mills and ferro-alloy manufacturing,12,
2015,Nova Scotia,Steel product manufacturing from purchased steel,12,
2015,Nova Scotia,Alumina and aluminum production and processing,12,
2015,Nova Scotia,Non-ferrous metal (except aluminum) production and processing,12,
2015,Nova Scotia,Foundries,12,
2015,Nova Scotia,Fabricated metal product manufacturing,12,0.51
2015,Nova Scotia,Forging and stamping,12,
2015,Nova Scotia,Cutlery and hand tool manufacturing,12,
2015,Nova Scotia,Architectural and structural metals manufacturing,12,0.26
2015,Nova Scotia,"Boiler, tank and shipping container manufacturing",12,
2015,Nova Scotia,Hardware manufacturing,12,
2015,Nova Scotia,Spring and wire product manufacturing,12,
2015,Nova Scotia,"Machine shops, turned product, and screw, nut and bolt manufacturing",12,0.11
2015,Nova Scotia,"Coating, engraving, cold and heat treating and allied activities",12,
2015,Nova Scotia,Other fabricated metal product manufacturing,12,0.06
2015,Nova Scotia,Machinery manufacturing,12,0.24
2015,Nova Scotia,"Agricultural, construction and mining machinery manufacturing",12,
2015,Nova Scotia,Industrial machinery manufacturing,12,0.04
2015,Nova Scotia,Commercial and service industry machinery manufacturing,12,0.08
2015,Nova Scotia,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",12,
2015,Nova Scotia,Metalworking machinery manufacturing,12,
2015,Nova Scotia,"Engine, turbine and power transmission equipment manufacturing",12,
2015,Nova Scotia,Other general-purpose machinery manufacturing,12,0.03
2015,Nova Scotia,Computer and electronic product manufacturing,12,0.2
2015,Nova Scotia,Computer and peripheral equipment manufacturing,12,
2015,Nova Scotia,Communications equipment manufacturing,12,
2015,Nova Scotia,Audio and video equipment manufacturing,12,
2015,Nova Scotia,Semiconductor and other electronic component manufacturing,12,
2015,Nova Scotia,"Navigational, measuring, medical and control instruments manufacturing",12,0.1
2015,Nova Scotia,Manufacturing and reproducing magnetic and optical media,12,
2015,Nova Scotia,"Electrical equipment, appliance and component manufacturing",12,
2015,Nova Scotia,Electric lighting equipment manufacturing,12,
2015,Nova Scotia,Household appliance manufacturing,12,
2015,Nova Scotia,Electrical equipment manufacturing,12,
2015,Nova Scotia,Other electrical equipment and component manufacturing,12,
2015,Nova Scotia,Transportation equipment manufacturing,12,0.98
2015,Nova Scotia,Motor vehicle manufacturing,12,
2015,Nova Scotia,Motor vehicle body and trailer manufacturing,12,
2015,Nova Scotia,Motor vehicle parts manufacturing,12,
2015,Nova Scotia,Aerospace product and parts manufacturing,12,0.46
2015,Nova Scotia,Railroad rolling stock manufacturing,12,
2015,Nova Scotia,Ship and boat building,12,0.46
2015,Nova Scotia,Other transportation equipment manufacturing,12,
2015,Nova Scotia,Furniture and related product manufacturing,12,0.1
2015,Nova Scotia,Household and institutional furniture and kitchen cabinet manufacturing,12,
2015,Nova Scotia,Office furniture (including fixtures) manufacturing,12,
2015,Nova Scotia,Other furniture-related product manufacturing,12,
2015,Nova Scotia,Miscellaneous manufacturing,12,0.14
2015,Nova Scotia,Medical equipment and supplies manufacturing,12,0.04
2015,Nova Scotia,Other miscellaneous manufacturing,12,0.1
2015,New Brunswick,Total manufacturing,13,9.52
2015,New Brunswick,Non-durable goods,13,5.53
2015,New Brunswick,Food manufacturing,13,3.65
2015,New Brunswick,Animal food manufacturing,13,
2015,New Brunswick,Grain and oilseed milling,13,
2015,New Brunswick,Sugar and confectionery product manufacturing,13,
2015,New Brunswick,Fruit and vegetable preserving and specialty food manufacturing,13,
2015,New Brunswick,Dairy product manufacturing,13,
2015,New Brunswick,Meat product manufacturing,13,0.39
2015,New Brunswick,Seafood product preparation and packaging,13,1.48
2015,New Brunswick,Bakeries and tortilla manufacturing,13,0.19
2015,New Brunswick,Other food manufacturing,13,0.21
2015,New Brunswick,Beverage and tobacco product manufacturing,13,0.21
2015,New Brunswick,Beverage manufacturing,13,
2015,New Brunswick,Tobacco manufacturing,13,
2015,New Brunswick,Cannabis product manufacturing,13,
2015,New Brunswick,Textile mills,13,
2015,New Brunswick,"Fibre, yarn and thread mills",13,
