Year,Series,Géographie,Composantes du secteur public,GeoCode,Value
2016,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,42000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,13000000.0
2016,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,6000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,1510000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,7000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,2000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,21000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,18000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,140000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,862000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,34000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,20000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,297000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,52000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,34000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,13000000.0
2017,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,6000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,1360000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,6000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,2000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,36000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,19000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,55000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,802000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,34000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,22000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,295000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,46000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,20000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,14000000.0
2018,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,6000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,1670000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,7000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,2000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,30000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,18000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,106000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,845000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,35000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,23000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,499000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,46000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,29000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,17000000.0
2019,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,7000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,1260000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,7000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,2000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,35000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,16000000.0
