Year,Geography,Type of work,Occupation,Sex,Age group,GeoCode,Value
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,55 years and over,,30.42
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 years and over,,24.4
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 to 24 years,,16.57
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,25 to 54 years,,27.06
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,55 years and over,,32.92
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 years and over,,22.52
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 to 24 years,,14.74
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,25 to 54 years,,26.42
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,55 years and over,,27.52
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Both sexes,15 years and over,,16.99
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Both sexes,15 to 24 years,,12.36
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Both sexes,25 to 54 years,,19.28
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Both sexes,55 years and over,,18.71
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Males,15 years and over,,18.73
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Males,15 to 24 years,,12.43
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Males,25 to 54 years,,21.78
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Males,55 years and over,,21.2
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Females,15 years and over,,15.68
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Females,15 to 24 years,,12.31
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Females,25 to 54 years,,17.42
2015,Canada,Both full- and part-time employees,"Sales and service occupations, except management",Females,55 years and over,,16.76
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 years and over,,25.28
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 to 24 years,,18.46
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,25 to 54 years,,26.72
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,55 years and over,,25.11
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 years and over,,25.71
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 to 24 years,,18.64
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,25 to 54 years,,27.21
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,55 years and over,,25.65
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 years and over,,20.04
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 to 24 years,,15.61
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,25 to 54 years,,21.01
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,55 years and over,,19.07
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 years and over,,23.93
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 to 24 years,,16.06
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,25 to 54 years,,27.83
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,55 years and over,,23.45
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 years and over,,25.54
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 to 24 years,,16.8
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,25 to 54 years,,29.43
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,55 years and over,,25.48
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 years and over,,16.4
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 to 24 years,,13.38
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,25 to 54 years,,18.88
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,55 years and over,,15.29
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 years and over,,21.72
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 to 24 years,,16.53
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,25 to 54 years,,22.35
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,55 years and over,,22.34
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Males,15 years and over,,23.35
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Males,15 to 24 years,,16.82
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Males,25 to 54 years,,24.03
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Males,55 years and over,,24.84
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,15 years and over,,17.35
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,15 to 24 years,,15.39
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,25 to 54 years,,17.87
2015,Canada,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,55 years and over,,16.57
2015,Canada,Full-time employees,"Total employees, all occupations",Both sexes,15 years and over,,27.6
2015,Canada,Full-time employees,"Total employees, all occupations",Both sexes,15 to 24 years,,17.0
2015,Canada,Full-time employees,"Total employees, all occupations",Both sexes,25 to 54 years,,28.76
2015,Canada,Full-time employees,"Total employees, all occupations",Both sexes,55 years and over,,28.89
2015,Canada,Full-time employees,"Total employees, all occupations",Males,15 years and over,,29.25
2015,Canada,Full-time employees,"Total employees, all occupations",Males,15 to 24 years,,17.74
2015,Canada,Full-time employees,"Total employees, all occupations",Males,25 to 54 years,,30.51
2015,Canada,Full-time employees,"Total employees, all occupations",Males,55 years and over,,30.99
2015,Canada,Full-time employees,"Total employees, all occupations",Females,15 years and over,,25.61
2015,Canada,Full-time employees,"Total employees, all occupations",Females,15 to 24 years,,16.0
2015,Canada,Full-time employees,"Total employees, all occupations",Females,25 to 54 years,,26.7
2015,Canada,Full-time employees,"Total employees, all occupations",Females,55 years and over,,26.22
2015,Canada,Full-time employees,Management occupations,Both sexes,15 years and over,,43.37
2015,Canada,Full-time employees,Management occupations,Both sexes,15 to 24 years,,19.19
2015,Canada,Full-time employees,Management occupations,Both sexes,25 to 54 years,,43.2
2015,Canada,Full-time employees,Management occupations,Both sexes,55 years and over,,46.9
2015,Canada,Full-time employees,Management occupations,Males,15 years and over,,45.9
