Year,Geography,Type of work,Occupation,Sex,Age group,GeoCode,Value
2018,Saskatchewan,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Males,25 to 54 years,47,30.06
2018,Saskatchewan,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Males,55 years and over,47,33.62
2018,Saskatchewan,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,15 years and over,47,23.56
2018,Saskatchewan,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,15 to 24 years,47,
2018,Saskatchewan,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,25 to 54 years,47,23.57
2018,Saskatchewan,Both full- and part-time employees,"Occupations in manufacturing and utilities, except management",Females,55 years and over,47,25.06
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Both sexes,15 years and over,47,29.79
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Both sexes,15 to 24 years,47,19.48
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Both sexes,25 to 54 years,47,31.08
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Both sexes,55 years and over,47,30.75
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Males,15 years and over,47,31.78
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Males,15 to 24 years,47,20.08
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Males,25 to 54 years,47,33.18
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Males,55 years and over,47,33.35
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Females,15 years and over,47,27.33
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Females,15 to 24 years,47,18.69
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Females,25 to 54 years,47,28.5
2018,Saskatchewan,Full-time employees,"Total employees, all occupations",Females,55 years and over,47,27.56
2018,Saskatchewan,Full-time employees,Management occupations,Both sexes,15 years and over,47,46.36
2018,Saskatchewan,Full-time employees,Management occupations,Both sexes,15 to 24 years,47,
2018,Saskatchewan,Full-time employees,Management occupations,Both sexes,25 to 54 years,47,45.12
2018,Saskatchewan,Full-time employees,Management occupations,Both sexes,55 years and over,47,52.26
2018,Saskatchewan,Full-time employees,Management occupations,Males,15 years and over,47,49.19
2018,Saskatchewan,Full-time employees,Management occupations,Males,15 to 24 years,47,
2018,Saskatchewan,Full-time employees,Management occupations,Males,25 to 54 years,47,47.82
2018,Saskatchewan,Full-time employees,Management occupations,Males,55 years and over,47,55.57
2018,Saskatchewan,Full-time employees,Management occupations,Females,15 years and over,47,41.89
2018,Saskatchewan,Full-time employees,Management occupations,Females,15 to 24 years,47,
2018,Saskatchewan,Full-time employees,Management occupations,Females,25 to 54 years,47,40.9
2018,Saskatchewan,Full-time employees,Management occupations,Females,55 years and over,47,46.79
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,15 years and over,47,28.11
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,15 to 24 years,47,18.84
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,25 to 54 years,47,28.88
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,55 years and over,47,28.42
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Males,15 years and over,47,32.8
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Males,15 to 24 years,47,18.59
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Males,25 to 54 years,47,33.48
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Males,55 years and over,47,34.5
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Females,15 years and over,47,26.64
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Females,15 to 24 years,47,18.9
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Females,25 to 54 years,47,27.38
2018,Saskatchewan,Full-time employees,"Business, finance and administration occupations, except management",Females,55 years and over,47,26.66
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 years and over,47,37.68
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 to 24 years,47,23.83
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,25 to 54 years,47,38.35
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,55 years and over,47,42.34
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,15 years and over,47,38.66
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,15 to 24 years,47,23.36
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,25 to 54 years,47,39.45
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,55 years and over,47,43.13
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,15 years and over,47,34.38
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,15 to 24 years,47,25.32
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,25 to 54 years,47,34.7
2018,Saskatchewan,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,55 years and over,47,39.13
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Both sexes,15 years and over,47,33.38
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Both sexes,15 to 24 years,47,26.88
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Both sexes,25 to 54 years,47,34.03
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Both sexes,55 years and over,47,33.7
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Males,15 years and over,47,36.89
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Males,15 to 24 years,47,
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Males,25 to 54 years,47,36.77
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Males,55 years and over,47,40.47
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Females,15 years and over,47,32.79
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Females,15 to 24 years,47,
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Females,25 to 54 years,47,33.54
2018,Saskatchewan,Full-time employees,"Health occupations, except management",Females,55 years and over,47,32.5
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 years and over,47,33.34
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 to 24 years,47,18.68
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,25 to 54 years,47,34.09
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,55 years and over,47,37.1
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 years and over,47,38.34
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 to 24 years,47,19.73
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,25 to 54 years,47,38.3
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,55 years and over,47,44.11
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 years and over,47,30.72
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 to 24 years,47,18.39
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,25 to 54 years,47,31.81
2018,Saskatchewan,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,55 years and over,47,33.03
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 years and over,47,24.06
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 to 24 years,47,16.48
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,25 to 54 years,47,25.7
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,55 years and over,47,
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 years and over,47,24.16
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 to 24 years,47,
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,25 to 54 years,47,25.11
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,55 years and over,47,
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 years and over,47,24.0
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 to 24 years,47,
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,25 to 54 years,47,26.21
2018,Saskatchewan,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,55 years and over,47,
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Both sexes,15 years and over,47,20.9
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Both sexes,15 to 24 years,47,14.67
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Both sexes,25 to 54 years,47,22.08
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Both sexes,55 years and over,47,21.54
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Males,15 years and over,47,23.22
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Males,15 to 24 years,47,14.69
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Males,25 to 54 years,47,24.62
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Males,55 years and over,47,25.07
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Females,15 years and over,47,18.69
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Females,15 to 24 years,47,14.66
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Females,25 to 54 years,47,19.67
2018,Saskatchewan,Full-time employees,"Sales and service occupations, except management",Females,55 years and over,47,18.26
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 years and over,47,29.23
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 to 24 years,47,21.82
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,25 to 54 years,47,30.86
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,55 years and over,47,28.75
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 years and over,47,29.62
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 to 24 years,47,22.03
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,25 to 54 years,47,31.24
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,55 years and over,47,29.12
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 years and over,47,23.67
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 to 24 years,47,19.8
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,25 to 54 years,47,25.01
2018,Saskatchewan,Full-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,55 years and over,47,23.13
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 years and over,47,30.62
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 to 24 years,47,20.64
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,25 to 54 years,47,33.9
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,55 years and over,47,28.9
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 years and over,47,31.54
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 to 24 years,47,21.75
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,25 to 54 years,47,34.6
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Males,55 years and over,47,
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 years and over,47,23.07
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 to 24 years,47,15.5
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,25 to 54 years,47,27.13
2018,Saskatchewan,Full-time employees,"Natural resources, agriculture and related production occupations, except management",Females,55 years and over,47,
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 years and over,47,29.22
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 to 24 years,47,23.03
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,25 to 54 years,47,29.09
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,55 years and over,47,33.23
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,15 years and over,47,30.05
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,15 to 24 years,47,
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,25 to 54 years,47,29.93
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Males,55 years and over,47,
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,15 years and over,47,24.34
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,15 to 24 years,47,
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,25 to 54 years,47,24.19
2018,Saskatchewan,Full-time employees,"Occupations in manufacturing and utilities, except management",Females,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Both sexes,15 years and over,47,18.93
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Both sexes,15 to 24 years,47,13.44
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Both sexes,25 to 54 years,47,22.55
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Both sexes,55 years and over,47,22.49
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Males,15 years and over,47,17.32
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Males,15 to 24 years,47,12.92
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Males,25 to 54 years,47,21.17
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Males,55 years and over,47,23.22
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Females,15 years and over,47,19.68
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Females,15 to 24 years,47,13.81
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Females,25 to 54 years,47,22.92
2018,Saskatchewan,Part-time employees,"Total employees, all occupations",Females,55 years and over,47,22.15
2018,Saskatchewan,Part-time employees,Management occupations,Both sexes,15 years and over,47,
2018,Saskatchewan,Part-time employees,Management occupations,Both sexes,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,Management occupations,Both sexes,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,Management occupations,Both sexes,55 years and over,47,
2018,Saskatchewan,Part-time employees,Management occupations,Males,15 years and over,47,
2018,Saskatchewan,Part-time employees,Management occupations,Males,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,Management occupations,Males,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,Management occupations,Males,55 years and over,47,
2018,Saskatchewan,Part-time employees,Management occupations,Females,15 years and over,47,
2018,Saskatchewan,Part-time employees,Management occupations,Females,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,Management occupations,Females,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,Management occupations,Females,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Both sexes,15 years and over,47,22.61
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Both sexes,15 to 24 years,47,14.77
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Both sexes,25 to 54 years,47,24.02
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Both sexes,55 years and over,47,23.43
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Males,15 years and over,47,26.22
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Males,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Males,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Males,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Females,15 years and over,47,22.13
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Females,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Females,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Business, finance and administration occupations, except management",Females,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 years and over,47,28.45
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Males,15 years and over,47,
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Males,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Males,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Males,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Females,15 years and over,47,
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Females,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Females,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Natural and applied sciences and related occupations, except management",Females,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Both sexes,15 years and over,47,30.43
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Both sexes,15 to 24 years,47,21.85
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Both sexes,25 to 54 years,47,32.59
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Both sexes,55 years and over,47,31.36
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Males,15 years and over,47,25.21
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Males,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Males,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Males,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Females,15 years and over,47,30.79
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Females,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Females,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Health occupations, except management",Females,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 years and over,47,27.21
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 to 24 years,47,15.01
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,25 to 54 years,47,28.59
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,55 years and over,47,33.26
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 years and over,47,27.53
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Males,25 to 54 years,47,26.93
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Males,55 years and over,47,33.11
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 years and over,47,27.15
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Females,25 to 54 years,47,28.88
2018,Saskatchewan,Part-time employees,"Occupations in education, law and social, community and government services, except management",Females,55 years and over,47,33.3
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 years and over,47,17.47
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 to 24 years,47,14.72
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,25 to 54 years,47,20.8
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 years and over,47,17.63
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 to 24 years,47,15.26
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Males,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 years and over,47,17.41
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 to 24 years,47,14.45
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Occupations in art, culture, recreation and sport, except management",Females,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Both sexes,15 years and over,47,14.02
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Both sexes,15 to 24 years,47,12.6
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Both sexes,25 to 54 years,47,15.55
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Both sexes,55 years and over,47,16.07
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Males,15 years and over,47,13.19
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Males,15 to 24 years,47,12.3
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Males,25 to 54 years,47,13.89
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Males,55 years and over,47,16.64
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Females,15 years and over,47,14.47
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Females,15 to 24 years,47,12.83
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Females,25 to 54 years,47,16.02
2018,Saskatchewan,Part-time employees,"Sales and service occupations, except management",Females,55 years and over,47,15.83
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 years and over,47,20.23
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,15 to 24 years,47,13.9
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,25 to 54 years,47,22.74
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Both sexes,55 years and over,47,21.26
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 years and over,47,20.86
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,25 to 54 years,47,24.9
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Males,55 years and over,47,21.67
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 years and over,47,18.75
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,25 to 54 years,47,19.13
2018,Saskatchewan,Part-time employees,"Trades, transport and equipment operators and related occupations, except management",Females,55 years and over,47,20.25
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 years and over,47,17.9
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,15 to 24 years,47,14.21
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Both sexes,55 years and over,47,17.61
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 years and over,47,21.13
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Males,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 years and over,47,13.77
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Natural resources, agriculture and related production occupations, except management",Females,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 years and over,47,21.63
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Both sexes,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Males,15 years and over,47,
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Males,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Males,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Males,55 years and over,47,
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Females,15 years and over,47,
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Females,15 to 24 years,47,
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Females,25 to 54 years,47,
2018,Saskatchewan,Part-time employees,"Occupations in manufacturing and utilities, except management",Females,55 years and over,47,
2018,Alberta,Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 years and over,48,31.39
2018,Alberta,Both full- and part-time employees,"Total employees, all occupations",Both sexes,15 to 24 years,48,18.66
2018,Alberta,Both full- and part-time employees,"Total employees, all occupations",Both sexes,25 to 54 years,48,33.61
2018,Alberta,Both full- and part-time employees,"Total employees, all occupations",Both sexes,55 years and over,48,33.9
2018,Alberta,Both full- and part-time employees,"Total employees, all occupations",Males,15 years and over,48,34.43
2018,Alberta,Both full- and part-time employees,"Total employees, all occupations",Males,15 to 24 years,48,19.49
2018,Alberta,Both full- and part-time employees,"Total employees, all occupations",Males,25 to 54 years,48,36.81
