Year,Géographie,Graduation rate,Genre,GeoCode,Value
2019/2020,Ontario,Extended-time,Total,35,92.0
2019/2020,Ontario,Extended-time,Homme,35,90.0
2019/2020,Ontario,Extended-time,Femme,35,94.0
2019/2020,Manitoba,On-time,Total,46,82.0
2019/2020,Manitoba,On-time,Homme,46,80.0
2019/2020,Manitoba,On-time,Femme,46,84.0
2019/2020,Manitoba,Extended-time,Total,46,87.0
2019/2020,Manitoba,Extended-time,Homme,46,86.0
2019/2020,Manitoba,Extended-time,Femme,46,89.0
2019/2020,Saskatchewan,On-time,Total,47,85.0
2019/2020,Saskatchewan,On-time,Homme,47,83.0
2019/2020,Saskatchewan,On-time,Femme,47,87.0
2019/2020,Saskatchewan,Extended-time,Total,47,88.0
2019/2020,Saskatchewan,Extended-time,Homme,47,85.0
2019/2020,Saskatchewan,Extended-time,Femme,47,90.0
2019/2020,Alberta,On-time,Total,48,84.0
2019/2020,Alberta,On-time,Homme,48,82.0
2019/2020,Alberta,On-time,Femme,48,87.0
2019/2020,Alberta,Extended-time,Total,48,87.0
2019/2020,Alberta,Extended-time,Homme,48,85.0
2019/2020,Alberta,Extended-time,Femme,48,89.0
2019/2020,Colombie-Britannique,On-time,Total,59,84.0
2019/2020,Colombie-Britannique,On-time,Homme,59,82.0
2019/2020,Colombie-Britannique,On-time,Femme,59,85.0
2019/2020,Colombie-Britannique,Extended-time,Total,59,89.0
2019/2020,Colombie-Britannique,Extended-time,Homme,59,87.0
2019/2020,Colombie-Britannique,Extended-time,Femme,59,91.0
2019/2020,Territoires du Nord-Ouest,On-time,Total,61,46.0
2019/2020,Territoires du Nord-Ouest,On-time,Homme,61,40.0
2019/2020,Territoires du Nord-Ouest,On-time,Femme,61,46.0
2019/2020,Territoires du Nord-Ouest,Extended-time,Total,61,
2019/2020,Territoires du Nord-Ouest,Extended-time,Homme,61,
2019/2020,Territoires du Nord-Ouest,Extended-time,Femme,61,
2019/2020,Nunavut,On-time,Total,62,
2019/2020,Nunavut,On-time,Homme,62,
2019/2020,Nunavut,On-time,Femme,62,
2019/2020,Nunavut,Extended-time,Total,62,
2019/2020,Nunavut,Extended-time,Homme,62,
2019/2020,Nunavut,Extended-time,Femme,62,
2020/2021,Terre-Neuve-et-Labrador,On-time,Total,10,89.0
2020/2021,Terre-Neuve-et-Labrador,On-time,Homme,10,87.0
2020/2021,Terre-Neuve-et-Labrador,On-time,Femme,10,91.0
2020/2021,Terre-Neuve-et-Labrador,Extended-time,Total,10,94.0
2020/2021,Terre-Neuve-et-Labrador,Extended-time,Homme,10,93.0
2020/2021,Terre-Neuve-et-Labrador,Extended-time,Femme,10,96.0
2020/2021,Île-du-Prince-Édouard,On-time,Total,11,92.0
2020/2021,Île-du-Prince-Édouard,On-time,Homme,11,93.0
2020/2021,Île-du-Prince-Édouard,On-time,Femme,11,92.0
2020/2021,Île-du-Prince-Édouard,Extended-time,Total,11,93.0
2020/2021,Île-du-Prince-Édouard,Extended-time,Homme,11,93.0
2020/2021,Île-du-Prince-Édouard,Extended-time,Femme,11,93.0
2020/2021,Nouvelle-Écosse,On-time,Total,12,87.0
2020/2021,Nouvelle-Écosse,On-time,Homme,12,86.0
2020/2021,Nouvelle-Écosse,On-time,Femme,12,88.0
2020/2021,Nouvelle-Écosse,Extended-time,Total,12,92.0
2020/2021,Nouvelle-Écosse,Extended-time,Homme,12,92.0
2020/2021,Nouvelle-Écosse,Extended-time,Femme,12,92.0
2020/2021,Nouveau-Brunswick,On-time,Total,13,87.0
2020/2021,Nouveau-Brunswick,On-time,Homme,13,87.0
2020/2021,Nouveau-Brunswick,On-time,Femme,13,87.0
2020/2021,Nouveau-Brunswick,Extended-time,Total,13,87.0
2020/2021,Nouveau-Brunswick,Extended-time,Homme,13,84.0
2020/2021,Nouveau-Brunswick,Extended-time,Femme,13,89.0
2020/2021,Québec,On-time,Total,24,80.0
2020/2021,Québec,On-time,Homme,24,75.0
2020/2021,Québec,On-time,Femme,24,86.0
2020/2021,Québec,Extended-time,Total,24,83.0
2020/2021,Québec,Extended-time,Homme,24,79.0
2020/2021,Québec,Extended-time,Femme,24,88.0
2020/2021,Ontario,On-time,Total,35,85.0
2020/2021,Ontario,On-time,Homme,35,82.0
2020/2021,Ontario,On-time,Femme,35,88.0
2020/2021,Ontario,Extended-time,Total,35,93.0
2020/2021,Ontario,Extended-time,Homme,35,91.0
2020/2021,Ontario,Extended-time,Femme,35,94.0
2020/2021,Manitoba,On-time,Total,46,85.0
2020/2021,Manitoba,On-time,Homme,46,83.0
2020/2021,Manitoba,On-time,Femme,46,87.0
2020/2021,Manitoba,Extended-time,Total,46,89.0
2020/2021,Manitoba,Extended-time,Homme,46,87.0
2020/2021,Manitoba,Extended-time,Femme,46,91.0
2020/2021,Saskatchewan,On-time,Total,47,83.0
2020/2021,Saskatchewan,On-time,Homme,47,82.0
2020/2021,Saskatchewan,On-time,Femme,47,84.0
2020/2021,Saskatchewan,Extended-time,Total,47,89.0
2020/2021,Saskatchewan,Extended-time,Homme,47,87.0
2020/2021,Saskatchewan,Extended-time,Femme,47,92.0
2020/2021,Alberta,On-time,Total,48,84.0
2020/2021,Alberta,On-time,Homme,48,82.0
2020/2021,Alberta,On-time,Femme,48,86.0
2020/2021,Alberta,Extended-time,Total,48,88.0
2020/2021,Alberta,Extended-time,Homme,48,86.0
2020/2021,Alberta,Extended-time,Femme,48,90.0
2020/2021,Colombie-Britannique,On-time,Total,59,83.0
2020/2021,Colombie-Britannique,On-time,Homme,59,82.0
2020/2021,Colombie-Britannique,On-time,Femme,59,84.0
2020/2021,Colombie-Britannique,Extended-time,Total,59,89.0
2020/2021,Colombie-Britannique,Extended-time,Homme,59,88.0
2020/2021,Colombie-Britannique,Extended-time,Femme,59,91.0
2020/2021,Territoires du Nord-Ouest,On-time,Total,61,
2020/2021,Territoires du Nord-Ouest,On-time,Homme,61,
2020/2021,Territoires du Nord-Ouest,On-time,Femme,61,
2020/2021,Territoires du Nord-Ouest,Extended-time,Total,61,51.0
2020/2021,Territoires du Nord-Ouest,Extended-time,Homme,61,44.0
2020/2021,Territoires du Nord-Ouest,Extended-time,Femme,61,57.0
2020/2021,Nunavut,On-time,Total,62,
2020/2021,Nunavut,On-time,Homme,62,
2020/2021,Nunavut,On-time,Femme,62,
2020/2021,Nunavut,Extended-time,Total,62,
2020/2021,Nunavut,Extended-time,Homme,62,
2020/2021,Nunavut,Extended-time,Femme,62,
