Year,Âge,Sexe,Value
2020,Neonatal 0 to 27 days,Hommes,3.8
2020,Neonatal 0 to 27 days,Femmes,3.1
2020,Neonatal under 1 day,Les deux sexes,2.3
2020,Neonatal under 1 day,Hommes,2.5
2020,Neonatal under 1 day,Femmes,2.0
2020,Neonatal 1 day,Les deux sexes,0.2
2020,Neonatal 1 day,Hommes,0.2
2020,Neonatal 1 day,Femmes,0.1
2020,Neonatal 2 days,Les deux sexes,0.1
2020,Neonatal 2 days,Hommes,0.2
2020,Neonatal 2 days,Femmes,0.1
2020,Neonatal 3 days,Les deux sexes,0.1
2020,Neonatal 3 days,Hommes,0.1
2020,Neonatal 3 days,Femmes,0.1
2020,Neonatal 4 days,Les deux sexes,0.1
2020,Neonatal 4 days,Hommes,0.1
2020,Neonatal 4 days,Femmes,0.1
2020,Neonatal 5 days,Les deux sexes,0.1
2020,Neonatal 5 days,Hommes,0.0
2020,Neonatal 5 days,Femmes,0.1
2020,Neonatal 6 days,Les deux sexes,0.1
2020,Neonatal 6 days,Hommes,0.1
2020,Neonatal 6 days,Femmes,0.0
2020,Neonatal 7 to 13 days,Les deux sexes,0.3
2020,Neonatal 7 to 13 days,Hommes,0.3
2020,Neonatal 7 to 13 days,Femmes,0.3
2020,Neonatal 14 to 20 days,Les deux sexes,0.2
2020,Neonatal 14 to 20 days,Hommes,0.2
2020,Neonatal 14 to 20 days,Femmes,0.2
2020,Neonatal 21 to 27 days,Les deux sexes,0.1
2020,Neonatal 21 to 27 days,Hommes,0.1
2020,Neonatal 21 to 27 days,Femmes,0.1
2020,Post-neonatal 1 to 11 months,Les deux sexes,1.1
2020,Post-neonatal 1 to 11 months,Hommes,1.1
2020,Post-neonatal 1 to 11 months,Femmes,1.0
2020,Post-neonatal 1 month,Les deux sexes,0.3
2020,Post-neonatal 1 month,Hommes,0.3
2020,Post-neonatal 1 month,Femmes,0.4
2020,Post-neonatal 2 months,Les deux sexes,0.2
2020,Post-neonatal 2 months,Hommes,0.2
2020,Post-neonatal 2 months,Femmes,0.1
2020,Post-neonatal 3 months,Les deux sexes,0.1
2020,Post-neonatal 3 months,Hommes,0.2
2020,Post-neonatal 3 months,Femmes,0.1
2020,Post-neonatal 4 months,Les deux sexes,0.1
2020,Post-neonatal 4 months,Hommes,0.1
2020,Post-neonatal 4 months,Femmes,0.1
2020,Post-neonatal 5 months,Les deux sexes,0.1
2020,Post-neonatal 5 months,Hommes,0.1
2020,Post-neonatal 5 months,Femmes,0.1
2020,Post-neonatal 6 months,Les deux sexes,0.1
2020,Post-neonatal 6 months,Hommes,0.1
2020,Post-neonatal 6 months,Femmes,0.1
2020,Post-neonatal 7 months,Les deux sexes,0.1
2020,Post-neonatal 7 months,Hommes,0.0
2020,Post-neonatal 7 months,Femmes,0.1
2020,Post-neonatal 8 months,Les deux sexes,0.0
2020,Post-neonatal 8 months,Hommes,0.0
2020,Post-neonatal 8 months,Femmes,0.0
2020,Post-neonatal 9 months,Les deux sexes,0.0
2020,Post-neonatal 9 months,Hommes,0.0
2020,Post-neonatal 9 months,Femmes,0.0
2020,Post-neonatal 10 months,Les deux sexes,0.0
2020,Post-neonatal 10 months,Hommes,0.1
2020,Post-neonatal 10 months,Femmes,0.0
2020,Post-neonatal 11 months,Les deux sexes,0.0
2020,Post-neonatal 11 months,Hommes,0.0
2020,Post-neonatal 11 months,Femmes,0.0
