Year,Series,Units,Géographie,Value
1971/91,Taux de croissance démographique,Taux de croissance,"Edmonton, Alberta",0.023
1971/91,Taux de croissance démographique,Taux de croissance,"Grand Sudbury, Ontario",-0.002
1971/91,Taux de croissance démographique,Taux de croissance,"Guelph, Ontario",0.02
1971/91,Taux de croissance démographique,Taux de croissance,"Halifax, Nouvelle-Écosse",0.011
1971/91,Taux de croissance démographique,Taux de croissance,"Hamilton, Ontario",0.009
1971/91,Taux de croissance démographique,Taux de croissance,"Kelowna, Colombie-Britannique",0.04
1971/91,Taux de croissance démographique,Taux de croissance,"Kingston, Ontario",0.012
1971/91,Taux de croissance démographique,Taux de croissance,"Kitchener - Cambridge - Waterloo, Ontario",0.02
1971/91,Taux de croissance démographique,Taux de croissance,"London, Ontario",0.013
1971/91,Taux de croissance démographique,Taux de croissance,"Moncton, Nouveau-Brunswick",0.011
1971/91,Taux de croissance démographique,Taux de croissance,"Montreal, Quebec",0.007
1971/91,Taux de croissance démographique,Taux de croissance,"Oshawa, Ontario",0.024
1971/91,Taux de croissance démographique,Taux de croissance,"Ottawa - Gatineau (partie de l'Ontario), Ontario",0.019
1971/91,Taux de croissance démographique,Taux de croissance,"Ottawa - Gatineau (partie du Québec), Québec",0.018
1971/91,Taux de croissance démographique,Taux de croissance,"Peterborough, Ontario",0.012
1971/91,Taux de croissance démographique,Taux de croissance,"Québec, Québec",0.012
1971/91,Taux de croissance démographique,Taux de croissance,"Regina, Saskatchewan",0.013
1971/91,Taux de croissance démographique,Taux de croissance,"Saguenay, Québec",0.004
1971/91,Taux de croissance démographique,Taux de croissance,"Saint John, Nouveau-Brunswick",0.006
1971/91,Taux de croissance démographique,Taux de croissance,"Saskatoon, Saskatchewan",0.02
1971/91,Taux de croissance démographique,Taux de croissance,"Sherbrooke, Québec",0.012
1971/91,Taux de croissance démographique,Taux de croissance,"St. Catharines - Niagara, Ontario",0.005
1971/91,Taux de croissance démographique,Taux de croissance,"St. John's, Terre-Neuve-et-Labrador",0.012
1971/91,Taux de croissance démographique,Taux de croissance,"Thunder Bay, Ontario",0.003
1971/91,Taux de croissance démographique,Taux de croissance,"Toronto, Ontario",0.018
1971/91,Taux de croissance démographique,Taux de croissance,"Trois-Rivières, Québec",0.007
1971/91,Taux de croissance démographique,Taux de croissance,"Vancouver, Colombie-Britannique",0.019
1971/91,Taux de croissance démographique,Taux de croissance,"Victoria, Colombie-Britannique",0.017
1971/91,Taux de croissance démographique,Taux de croissance,"Windsor, Ontario",0.001
1971/91,Taux de croissance démographique,Taux de croissance,"Winnipeg, Manitoba",0.008
1991/01,Taux de croissance démographique,Taux de croissance,,0.012
1991/01,Taux de croissance démographique,Taux de croissance,"Abbotsford - Mission, Colombie-Britannique",0.026
1991/01,Taux de croissance démographique,Taux de croissance,"Barrie, Ontario",0.042
1991/01,Taux de croissance démographique,Taux de croissance,"Brantford, Ontario",0.007
1991/01,Taux de croissance démographique,Taux de croissance,"Calgary, Alberta",0.023
1991/01,Taux de croissance démographique,Taux de croissance,"Edmonton, Alberta",0.011
1991/01,Taux de croissance démographique,Taux de croissance,"Grand Sudbury, Ontario",-0.004
1991/01,Taux de croissance démographique,Taux de croissance,"Guelph, Ontario",0.018
1991/01,Taux de croissance démographique,Taux de croissance,"Halifax, Nouvelle-Écosse",0.007
1991/01,Taux de croissance démographique,Taux de croissance,"Hamilton, Ontario",0.01
1991/01,Taux de croissance démographique,Taux de croissance,"Kelowna, Colombie-Britannique",0.028
1991/01,Taux de croissance démographique,Taux de croissance,"Kingston, Ontario",0.006
1991/01,Taux de croissance démographique,Taux de croissance,"Kitchener - Cambridge - Waterloo, Ontario",0.015
1991/01,Taux de croissance démographique,Taux de croissance,"London, Ontario",0.008
1991/01,Taux de croissance démographique,Taux de croissance,"Moncton, Nouveau-Brunswick",0.009
1991/01,Taux de croissance démographique,Taux de croissance,"Montreal, Quebec",0.005
1991/01,Taux de croissance démographique,Taux de croissance,"Oshawa, Ontario",0.021
1991/01,Taux de croissance démographique,Taux de croissance,"Ottawa - Gatineau (partie de l'Ontario), Ontario",0.013
1991/01,Taux de croissance démographique,Taux de croissance,"Ottawa - Gatineau (partie du Québec), Québec",0.013
1991/01,Taux de croissance démographique,Taux de croissance,"Peterborough, Ontario",0.004
1991/01,Taux de croissance démographique,Taux de croissance,"Québec, Québec",0.004
1991/01,Taux de croissance démographique,Taux de croissance,"Regina, Saskatchewan",0.001
1991/01,Taux de croissance démographique,Taux de croissance,"Saguenay, Québec",-0.003
1991/01,Taux de croissance démographique,Taux de croissance,"Saint John, Nouveau-Brunswick",-0.003
1991/01,Taux de croissance démographique,Taux de croissance,"Saskatoon, Saskatchewan",0.007
1991/01,Taux de croissance démographique,Taux de croissance,"Sherbrooke, Québec",0.008
1991/01,Taux de croissance démographique,Taux de croissance,"St. Catharines - Niagara, Ontario",0.003
1991/01,Taux de croissance démographique,Taux de croissance,"St. John's, Terre-Neuve-et-Labrador",0.001
1991/01,Taux de croissance démographique,Taux de croissance,"Thunder Bay, Ontario",-0.003
1991/01,Taux de croissance démographique,Taux de croissance,"Toronto, Ontario",0.018
1991/01,Taux de croissance démographique,Taux de croissance,"Trois-Rivières, Québec",-0.001
1991/01,Taux de croissance démographique,Taux de croissance,"Vancouver, Colombie-Britannique",0.022
1991/01,Taux de croissance démographique,Taux de croissance,"Victoria, Colombie-Britannique",0.005
1991/01,Taux de croissance démographique,Taux de croissance,"Windsor, Ontario",0.013
1991/01,Taux de croissance démographique,Taux de croissance,"Winnipeg, Manitoba",0.002
2001/11,Taux de croissance démographique,Taux de croissance,,0.014
2001/11,Taux de croissance démographique,Taux de croissance,"Abbotsford - Mission, Colombie-Britannique",0.015
2001/11,Taux de croissance démographique,Taux de croissance,"Barrie, Ontario",0.023
2001/11,Taux de croissance démographique,Taux de croissance,"Brantford, Ontario",0.014
2001/11,Taux de croissance démographique,Taux de croissance,"Calgary, Alberta",0.024
2001/11,Taux de croissance démographique,Taux de croissance,"Edmonton, Alberta",0.021
2001/11,Taux de croissance démographique,Taux de croissance,"Grand Sudbury, Ontario",0.003
2001/11,Taux de croissance démographique,Taux de croissance,"Guelph, Ontario",0.014
2001/11,Taux de croissance démographique,Taux de croissance,"Halifax, Nouvelle-Écosse",0.012
2001/11,Taux de croissance démographique,Taux de croissance,"Hamilton, Ontario",0.009
2001/11,Taux de croissance démographique,Taux de croissance,"Kelowna, Colombie-Britannique",0.02
2001/11,Taux de croissance démographique,Taux de croissance,"Kingston, Ontario",0.01
2001/11,Taux de croissance démographique,Taux de croissance,"Kitchener - Cambridge - Waterloo, Ontario",0.014
2001/11,Taux de croissance démographique,Taux de croissance,"London, Ontario",0.009
2001/11,Taux de croissance démographique,Taux de croissance,"Moncton, Nouveau-Brunswick",0.016
2001/11,Taux de croissance démographique,Taux de croissance,"Montreal, Quebec",0.012
2001/11,Taux de croissance démographique,Taux de croissance,"Oshawa, Ontario",0.019
2001/11,Taux de croissance démographique,Taux de croissance,"Ottawa - Gatineau (partie de l'Ontario), Ontario",0.013
2001/11,Taux de croissance démographique,Taux de croissance,"Ottawa - Gatineau (partie du Québec), Québec",0.017
2001/11,Taux de croissance démographique,Taux de croissance,"Peterborough, Ontario",0.007
2001/11,Taux de croissance démographique,Taux de croissance,"Québec, Québec",0.012
