Year,Géographie,Genre de travail,Occupation,Sexe,Groupe d'âge,GeoCode,Value
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Femmes,25 à 54 ans,,17.42
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Vente et services, sauf les gestionnaires",Femmes,55 ans et plus,,16.76
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Les deux sexes,15 ans et plus,,25.28
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Les deux sexes,15 à 24 ans,,18.46
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Les deux sexes,25 à 54 ans,,26.72
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Les deux sexes,55 ans et plus,,25.11
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Hommes,15 ans et plus,,25.71
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Hommes,15 à 24 ans,,18.64
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Hommes,25 à 54 ans,,27.21
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Hommes,55 ans et plus,,25.65
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Femmes,15 ans et plus,,20.04
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Femmes,15 à 24 ans,,15.61
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Femmes,25 à 54 ans,,21.01
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés, sauf les gestionnaires",Femmes,55 ans et plus,,19.07
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Les deux sexes,15 ans et plus,,23.93
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Les deux sexes,15 à 24 ans,,16.06
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Les deux sexes,25 à 54 ans,,27.83
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Les deux sexes,55 ans et plus,,23.45
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Hommes,15 ans et plus,,25.54
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Hommes,15 à 24 ans,,16.8
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Hommes,25 à 54 ans,,29.43
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Hommes,55 ans et plus,,25.48
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Femmes,15 ans et plus,,16.4
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Femmes,15 à 24 ans,,13.38
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Femmes,25 à 54 ans,,18.88
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe, sauf les gestionnaires",Femmes,55 ans et plus,,15.29
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Les deux sexes,15 ans et plus,,21.72
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Les deux sexes,15 à 24 ans,,16.53
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Les deux sexes,25 à 54 ans,,22.35
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Les deux sexes,55 ans et plus,,22.34
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Hommes,15 ans et plus,,23.35
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Hommes,15 à 24 ans,,16.82
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Hommes,25 à 54 ans,,24.03
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Hommes,55 ans et plus,,24.84
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Femmes,15 ans et plus,,17.35
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Femmes,15 à 24 ans,,15.39
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Femmes,25 à 54 ans,,17.87
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Fabrication et services d'utilité publique, sauf les gestionnaires",Femmes,55 ans et plus,,16.57
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Les deux sexes,15 ans et plus,,27.6
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Les deux sexes,15 à 24 ans,,17.0
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Les deux sexes,25 à 54 ans,,28.76
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Les deux sexes,55 ans et plus,,28.89
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Hommes,15 ans et plus,,29.25
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Hommes,15 à 24 ans,,17.74
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Hommes,25 à 54 ans,,30.51
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Hommes,55 ans et plus,,30.99
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Femmes,15 ans et plus,,25.61
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Femmes,15 à 24 ans,,16.0
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Femmes,25 à 54 ans,,26.7
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",Femmes,55 ans et plus,,26.22
2015,Canada,Employés à temps plein,Gestion,Les deux sexes,15 ans et plus,,43.37
2015,Canada,Employés à temps plein,Gestion,Les deux sexes,15 à 24 ans,,19.19
2015,Canada,Employés à temps plein,Gestion,Les deux sexes,25 à 54 ans,,43.2
2015,Canada,Employés à temps plein,Gestion,Les deux sexes,55 ans et plus,,46.9
2015,Canada,Employés à temps plein,Gestion,Hommes,15 ans et plus,,45.9
2015,Canada,Employés à temps plein,Gestion,Hommes,15 à 24 ans,,20.07
2015,Canada,Employés à temps plein,Gestion,Hommes,25 à 54 ans,,45.67
2015,Canada,Employés à temps plein,Gestion,Hommes,55 ans et plus,,49.11
2015,Canada,Employés à temps plein,Gestion,Femmes,15 ans et plus,,39.48
2015,Canada,Employés à temps plein,Gestion,Femmes,15 à 24 ans,,18.33
2015,Canada,Employés à temps plein,Gestion,Femmes,25 à 54 ans,,39.5
2015,Canada,Employés à temps plein,Gestion,Femmes,55 ans et plus,,42.97
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Les deux sexes,15 ans et plus,,27.01
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Les deux sexes,15 à 24 ans,,17.67
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Les deux sexes,25 à 54 ans,,27.55
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Les deux sexes,55 ans et plus,,28.08
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Hommes,15 ans et plus,,30.25
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Hommes,15 à 24 ans,,17.83
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Hommes,25 à 54 ans,,30.84
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Hommes,55 ans et plus,,32.37
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Femmes,15 ans et plus,,25.68
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Femmes,15 à 24 ans,,17.6
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Femmes,25 à 54 ans,,26.18
2015,Canada,Employés à temps plein,"Affaires, finance et administration, sauf les gestionnaires",Femmes,55 ans et plus,,26.46
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Les deux sexes,15 ans et plus,,35.28
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Les deux sexes,15 à 24 ans,,21.82
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Les deux sexes,25 à 54 ans,,35.77
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Les deux sexes,55 ans et plus,,39.79
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Hommes,15 ans et plus,,36.32
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Hommes,15 à 24 ans,,22.38
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Hommes,25 à 54 ans,,36.73
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Hommes,55 ans et plus,,40.76
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Femmes,15 ans et plus,,32.03
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Femmes,15 à 24 ans,,20.51
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Femmes,25 à 54 ans,,32.82
2015,Canada,Employés à temps plein,"Sciences naturelles et appliquées et domaines apparentés, sauf les gestionnaires",Femmes,55 ans et plus,,35.8
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Les deux sexes,15 ans et plus,,29.88
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Les deux sexes,15 à 24 ans,,22.23
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Les deux sexes,25 à 54 ans,,30.36
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Les deux sexes,55 ans et plus,,31.02
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Hommes,15 ans et plus,,31.89
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Hommes,15 à 24 ans,,24.41
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Hommes,25 à 54 ans,,32.55
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Hommes,55 ans et plus,,31.31
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Femmes,15 ans et plus,,29.44
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Femmes,15 à 24 ans,,21.83
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Femmes,25 à 54 ans,,29.85
2015,Canada,Employés à temps plein,"Secteur de la santé, sauf les gestionnaires",Femmes,55 ans et plus,,30.98
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Les deux sexes,15 ans et plus,,32.7
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Les deux sexes,15 à 24 ans,,18.01
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Les deux sexes,25 à 54 ans,,33.12
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Les deux sexes,55 ans et plus,,35.3
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Hommes,15 ans et plus,,37.26
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Hommes,15 à 24 ans,,19.57
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Hommes,25 à 54 ans,,37.04
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Hommes,55 ans et plus,,41.61
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Femmes,15 ans et plus,,30.36
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Femmes,15 à 24 ans,,17.55
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Femmes,25 à 54 ans,,31.14
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux, sauf les gestionnaires",Femmes,55 ans et plus,,31.14
2015,Canada,Employés à temps plein,"Arts, culture, sports et loisirs, sauf les gestionnaires",Les deux sexes,15 ans et plus,,25.54
