Year,Series,Géographie,GeoCode,Value
2016,Wastewater discharged from municipal sewage systems,Lower Mackenzie drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,Lower Saskatchewan-Nelson drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,Manitoba,46,99.97
2016,Wastewater discharged from municipal sewage systems,Maritime Coastal drainage region,,95.75
2016,Wastewater discharged from municipal sewage systems,Nouveau-Brunswick,13,100.0
2016,Wastewater discharged from municipal sewage systems,Newfoundland-Labrador drainage region,,82.64
2016,Wastewater discharged from municipal sewage systems,Terre-Neuve-et-Labrador,10,82.7
2016,Wastewater discharged from municipal sewage systems,North Saskatchewan drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,North Shore-Gaspé drainage region,,97.19
2016,Wastewater discharged from municipal sewage systems,Northern Ontario drainage region,,99.4
2016,Wastewater discharged from municipal sewage systems,Northern Quebec drainage region,,98.91
2016,Wastewater discharged from municipal sewage systems,Nouvelle-Écosse,12,94.11
2016,Wastewater discharged from municipal sewage systems,Okanagan-Similkameen drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,Ontario,35,100.0
2016,Wastewater discharged from municipal sewage systems,Ottawa drainage region,,99.83
2016,Wastewater discharged from municipal sewage systems,Pacific Coastal drainage region,,86.66
2016,Wastewater discharged from municipal sewage systems,Peace-Athabasca drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,Île-du-Prince-Édouard,11,100.0
2016,Wastewater discharged from municipal sewage systems,Québec,24,99.67
2016,Wastewater discharged from municipal sewage systems,Saint John-St. Croix drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,Saskatchewan,47,100.0
2016,Wastewater discharged from municipal sewage systems,South Saskatchewan drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,St. Lawrence drainage region,,99.9
2016,Wastewater discharged from municipal sewage systems,Total drainage regions,,99.06
2016,Wastewater discharged from municipal sewage systems,Winnipeg drainage region,,100.0
2016,Wastewater discharged from municipal sewage systems,Yukon,60,100.0
2016,Wastewater discharged from municipal sewage systems,Yukon drainage region,,100.0
2017,Wastewater discharged from municipal sewage systems,Alberta,48,100.0
2017,Wastewater discharged from municipal sewage systems,Assiniboine-Red drainage region,,99.97
