Year,Géographie,Niveau de gouvernement,Type de patrimoine,Value
2017,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,9e-05
2017,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1e-05
2017,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2e-05
2017,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001
2017,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0001
2017,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2e-05
2017,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8e-05
2017,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0
2017,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2e-05
2017,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00014
2017,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1e-05
2017,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",8e-05
2017,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,6e-05
2017,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001
2017,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",6e-05
2017,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1e-05
2017,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,3e-05
2017,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00012
2017,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1e-05
2017,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1e-05
