Year,Géographie,Type de production d'électricité,GeoCode,Value
2016,Nouveau-Brunswick,Turbine éolienne,13,5.033
2016,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2016,Québec,"Total, tous les genres de production d'électricité",24,98.919
2016,Québec,Turbine à hydraulique,24,94.245
2016,Québec,Turbine éolienne,24,4.673
2016,Québec,Solaire,24,0.001
2016,Québec,Autres types de production électrique,24,0.0
2016,Ontario,"Total, tous les genres de production d'électricité",35,31.207
2016,Ontario,Turbine à hydraulique,35,23.232
2016,Ontario,Turbine éolienne,35,6.845
2016,Ontario,Solaire,35,1.13
2016,Ontario,Autres types de production électrique,35,0.0
2016,Manitoba,"Total, tous les genres de production d'électricité",46,99.606
2016,Manitoba,Turbine à hydraulique,46,97.044
2016,Manitoba,Turbine éolienne,46,2.562
2016,Manitoba,Solaire,46,0.0
2016,Saskatchewan,"Total, tous les genres de production d'électricité",47,16.749
2016,Saskatchewan,Turbine à hydraulique,47,13.282
2016,Saskatchewan,Turbine éolienne,47,3.016
2016,Saskatchewan,Solaire,47,0.0
2016,Saskatchewan,Autres types de production électrique,47,0.451
2016,Alberta,"Total, tous les genres de production d'électricité",48,8.39
2016,Alberta,Turbine à hydraulique,48,2.496
2016,Alberta,Turbine éolienne,48,5.807
2016,Alberta,Solaire,48,0.002
2016,Alberta,Autres types de production électrique,48,0.084
2016,Colombie-Britannique,"Total, tous les genres de production d'électricité",59,90.376
2016,Colombie-Britannique,Turbine à hydraulique,59,88.623
2016,Colombie-Britannique,Turbine éolienne,59,1.752
2016,Colombie-Britannique,Solaire,59,0.0
2016,Colombie-Britannique,Autres types de production électrique,59,0.0
2016,Yukon,"Total, tous les genres de production d'électricité",60,93.953
2016,Yukon,Turbine à hydraulique,60,93.84
2016,Yukon,Turbine éolienne,60,0.114
2016,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",61,34.712
2016,Territoires du Nord-Ouest,Turbine à hydraulique,61,32.752
2016,Territoires du Nord-Ouest,Turbine éolienne,61,1.926
2016,Territoires du Nord-Ouest,Solaire,61,0.035
2016,Territoires du Nord-Ouest,Autres types de production électrique,61,0.0
2017,Canada,Turbine à hydraulique,,60.164
2017,Canada,Turbine marémotrice,,0.001
2017,Canada,Turbine éolienne,,4.804
2017,Canada,Solaire,,0.308
2017,Canada,Autres types de production électrique,,0.031
2017,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,94.423
2017,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,93.943
2017,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.479
2017,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.235
2017,Île-du-Prince-Édouard,Turbine éolienne,11,98.235
2017,Île-du-Prince-Édouard,Solaire,11,0.0
2017,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,21.485
2017,Nouvelle-Écosse,Turbine à hydraulique,12,8.434
2017,Nouvelle-Écosse,Turbine marémotrice,12,0.059
2017,Nouvelle-Écosse,Turbine éolienne,12,12.992
2017,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,25.085
2017,Nouveau-Brunswick,Turbine à hydraulique,13,19.284
2017,Nouveau-Brunswick,Turbine éolienne,13,5.802
2017,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2017,Québec,"Total, tous les genres de production d'électricité",24,98.843
2017,Québec,Turbine à hydraulique,24,94.214
2017,Québec,Turbine éolienne,24,4.628
2017,Québec,Solaire,24,0.001
2017,Québec,Autres types de production électrique,24,0.0
2017,Ontario,"Total, tous les genres de production d'électricité",35,34.264
2017,Ontario,Turbine à hydraulique,35,26.127
2017,Ontario,Turbine éolienne,35,6.832
2017,Ontario,Solaire,35,1.305
2017,Ontario,Autres types de production électrique,35,0.0
2017,Manitoba,"Total, tous les genres de production d'électricité",46,99.571
2017,Manitoba,Turbine à hydraulique,46,97.072
2017,Manitoba,Turbine éolienne,46,2.499
2017,Manitoba,Solaire,46,0.0
2017,Saskatchewan,"Total, tous les genres de production d'électricité",47,18.572
2017,Saskatchewan,Turbine à hydraulique,47,15.192
2017,Saskatchewan,Turbine éolienne,47,2.913
2017,Saskatchewan,Solaire,47,0.0
2017,Saskatchewan,Autres types de production électrique,47,0.468
2017,Alberta,"Total, tous les genres de production d'électricité",48,8.388
2017,Alberta,Turbine à hydraulique,48,2.55
2017,Alberta,Turbine éolienne,48,5.731
2017,Alberta,Solaire,48,0.002
2017,Alberta,Autres types de production électrique,48,0.104
2017,Colombie-Britannique,"Total, tous les genres de production d'électricité",59,91.35
2017,Colombie-Britannique,Turbine à hydraulique,59,89.163
2017,Colombie-Britannique,Turbine éolienne,59,2.187
2017,Colombie-Britannique,Solaire,59,0.0
2017,Colombie-Britannique,Autres types de production électrique,59,0.0
2017,Yukon,"Total, tous les genres de production d'électricité",60,92.444
2017,Yukon,Turbine à hydraulique,60,92.437
2017,Yukon,Turbine éolienne,60,0.007
2017,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",61,39.424
2017,Territoires du Nord-Ouest,Turbine à hydraulique,61,36.842
2017,Territoires du Nord-Ouest,Turbine éolienne,61,2.54
2017,Territoires du Nord-Ouest,Solaire,61,0.043
2017,Territoires du Nord-Ouest,Autres types de production électrique,61,0.0
2018,Canada,Turbine à hydraulique,,59.609
2018,Canada,Turbine marémotrice,,0.003
2018,Canada,Turbine éolienne,,5.169
2018,Canada,Solaire,,0.342
2018,Canada,Autres types de production électrique,,0.033
2018,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,96.286
2018,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,95.816
2018,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.471
2018,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.725
2018,Île-du-Prince-Édouard,Turbine éolienne,11,98.646
2018,Île-du-Prince-Édouard,Solaire,11,0.079
2018,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,23.179
2018,Nouvelle-Écosse,Turbine à hydraulique,12,8.933
2018,Nouvelle-Écosse,Turbine marémotrice,12,0.186
2018,Nouvelle-Écosse,Turbine éolienne,12,14.06
2018,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,24.551
2018,Nouveau-Brunswick,Turbine à hydraulique,13,18.525
2018,Nouveau-Brunswick,Turbine éolienne,13,6.026
2018,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2018,Québec,"Total, tous les genres de production d'électricité",24,98.801
2018,Québec,Turbine à hydraulique,24,93.805
2018,Québec,Turbine éolienne,24,4.996
2018,Québec,Solaire,24,0.001
2018,Québec,Autres types de production électrique,24,0.0
2018,Ontario,"Total, tous les genres de production d'électricité",35,33.518
2018,Ontario,Turbine à hydraulique,35,24.501
2018,Ontario,Turbine éolienne,35,7.631
2018,Ontario,Solaire,35,1.385
2018,Ontario,Autres types de production électrique,35,0.002
2018,Manitoba,"Total, tous les genres de production d'électricité",46,99.654
2018,Manitoba,Turbine à hydraulique,46,96.902
2018,Manitoba,Turbine éolienne,46,2.753
2018,Manitoba,Solaire,46,0.0
2018,Saskatchewan,"Total, tous les genres de production d'électricité",47,18.263
2018,Saskatchewan,Turbine à hydraulique,47,14.879
2018,Saskatchewan,Turbine éolienne,47,2.876
2018,Saskatchewan,Solaire,47,0.0
2018,Saskatchewan,Autres types de production électrique,47,0.508
2018,Alberta,"Total, tous les genres de production d'électricité",48,8.142
2018,Alberta,Turbine à hydraulique,48,2.606
2018,Alberta,Turbine éolienne,48,5.392
2018,Alberta,Solaire,48,0.033
2018,Alberta,Autres types de production électrique,48,0.112
2018,Colombie-Britannique,"Total, tous les genres de production d'électricité",59,91.023
2018,Colombie-Britannique,Turbine à hydraulique,59,88.551
2018,Colombie-Britannique,Turbine éolienne,59,2.47
2018,Colombie-Britannique,Solaire,59,0.002
2018,Colombie-Britannique,Autres types de production électrique,59,0.0
2018,Yukon,"Total, tous les genres de production d'électricité",60,87.582
2018,Yukon,Turbine à hydraulique,60,87.582
2018,Yukon,Turbine éolienne,60,0.0
2018,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",61,40.114
2018,Territoires du Nord-Ouest,Turbine à hydraulique,61,37.407
2018,Territoires du Nord-Ouest,Turbine éolienne,61,2.664
2018,Territoires du Nord-Ouest,Solaire,61,0.043
2018,Territoires du Nord-Ouest,Autres types de production électrique,61,0.0
2019,Canada,Turbine à hydraulique,,59.505
2019,Canada,Turbine marémotrice,,0.0
2019,Canada,Turbine éolienne,,5.123
2019,Canada,Solaire,,0.345
2019,Canada,Autres types de production électrique,,0.026
2019,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,95.986
2019,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,95.559
2019,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.426
2019,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,99.033
2019,Île-du-Prince-Édouard,Turbine éolienne,11,98.946
2019,Île-du-Prince-Édouard,Solaire,11,0.087
2019,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,23.915
2019,Nouvelle-Écosse,Turbine à hydraulique,12,10.325
2019,Nouvelle-Écosse,Turbine marémotrice,12,0.009
2019,Nouvelle-Écosse,Turbine éolienne,12,13.581
2019,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,28.79
2019,Nouveau-Brunswick,Turbine à hydraulique,13,22.201
2019,Nouveau-Brunswick,Turbine éolienne,13,6.589
2019,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2019,Québec,"Total, tous les genres de production d'électricité",24,98.917
2019,Québec,Turbine à hydraulique,24,93.705
2019,Québec,Turbine éolienne,24,5.211
2019,Québec,Solaire,24,0.001
2019,Québec,Autres types de production électrique,24,0.0
2019,Ontario,"Total, tous les genres de production d'électricité",35,33.212
2019,Ontario,Turbine à hydraulique,35,24.655
2019,Ontario,Turbine éolienne,35,7.158
2019,Ontario,Solaire,35,1.395
2019,Ontario,Autres types de production électrique,35,0.004
2019,Manitoba,"Total, tous les genres de production d'électricité",46,99.647
2019,Manitoba,Turbine à hydraulique,46,97.043
2019,Manitoba,Turbine éolienne,46,2.604
2019,Manitoba,Solaire,46,0.0
2019,Saskatchewan,"Total, tous les genres de production d'électricité",47,18.552
2019,Saskatchewan,Turbine à hydraulique,47,15.176
2019,Saskatchewan,Turbine éolienne,47,2.926
2019,Saskatchewan,Solaire,47,0.0
2019,Saskatchewan,Autres types de production électrique,47,0.45
2019,Alberta,"Total, tous les genres de production d'électricité",48,8.001
2019,Alberta,Turbine à hydraulique,48,2.69
2019,Alberta,Turbine éolienne,48,5.21
2019,Alberta,Solaire,48,0.03
2019,Alberta,Autres types de production électrique,48,0.071
2019,Colombie-Britannique,"Total, tous les genres de production d'électricité",59,89.226
2019,Colombie-Britannique,Turbine à hydraulique,59,86.61
2019,Colombie-Britannique,Turbine éolienne,59,2.613
2019,Colombie-Britannique,Solaire,59,0.003
2019,Colombie-Britannique,Autres types de production électrique,59,0.0
2019,Yukon,"Total, tous les genres de production d'électricité",60,80.358
2019,Yukon,Turbine à hydraulique,60,80.358
2019,Yukon,Turbine éolienne,60,0.0
2019,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",61,38.498
2019,Territoires du Nord-Ouest,Turbine à hydraulique,61,36.113
2019,Territoires du Nord-Ouest,Turbine éolienne,61,2.345
2019,Territoires du Nord-Ouest,Solaire,61,0.04
2019,Territoires du Nord-Ouest,Autres types de production électrique,61,0.0
2020,Canada,Turbine à hydraulique,,60.384
2020,Canada,Turbine marémotrice,,0.0
2020,Canada,Turbine éolienne,,5.585
2020,Canada,Solaire,,0.334
2020,Canada,Autres types de production électrique,,0.049
2020,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,96.226
2020,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,95.782
2020,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.444
2020,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,99.17
2020,Île-du-Prince-Édouard,Turbine éolienne,11,99.084
2020,Île-du-Prince-Édouard,Solaire,11,0.086
2020,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,22.193
2020,Nouvelle-Écosse,Turbine à hydraulique,12,7.861
2020,Nouvelle-Écosse,Turbine marémotrice,12,0.0
2020,Nouvelle-Écosse,Turbine éolienne,12,14.332
2020,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,29.793
2020,Nouveau-Brunswick,Turbine à hydraulique,13,22.498
2020,Nouveau-Brunswick,Turbine éolienne,13,7.295
2020,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2020,Québec,"Total, tous les genres de production d'électricité",24,98.955
2020,Québec,Turbine à hydraulique,24,93.567
2020,Québec,Turbine éolienne,24,5.387
2020,Québec,Solaire,24,0.001
2020,Québec,Autres types de production électrique,24,0.0
2020,Ontario,"Total, tous les genres de production d'électricité",35,34.49
2020,Ontario,Turbine à hydraulique,35,25.523
2020,Ontario,Turbine éolienne,35,7.594
2020,Ontario,Solaire,35,1.366
2020,Ontario,Autres types de production électrique,35,0.007
2020,Manitoba,"Total, tous les genres de production d'électricité",46,99.652
2020,Manitoba,Turbine à hydraulique,46,97.079
2020,Manitoba,Turbine éolienne,46,2.573
2020,Manitoba,Solaire,46,0.0
2020,Saskatchewan,"Total, tous les genres de production d'électricité",47,21.546
2020,Saskatchewan,Turbine à hydraulique,47,18.15
2020,Saskatchewan,Turbine éolienne,47,3.048
2020,Saskatchewan,Solaire,47,0.001
2020,Saskatchewan,Autres types de production électrique,47,0.347
2020,Alberta,"Total, tous les genres de production d'électricité",48,10.973
2020,Alberta,Turbine à hydraulique,48,2.833
2020,Alberta,Turbine éolienne,48,7.824
2020,Alberta,Solaire,48,0.035
2020,Alberta,Autres types de production électrique,48,0.282
2020,Colombie-Britannique,"Total, tous les genres de production d'électricité",59,91.685
2020,Colombie-Britannique,Turbine à hydraulique,59,89.133
2020,Colombie-Britannique,Turbine éolienne,59,2.549
2020,Colombie-Britannique,Solaire,59,0.004
2020,Colombie-Britannique,Autres types de production électrique,59,0.0
2020,Yukon,"Total, tous les genres de production d'électricité",60,82.804
2020,Yukon,Turbine à hydraulique,60,82.804
2020,Yukon,Turbine éolienne,60,0.0
2020,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",61,40.966
2020,Territoires du Nord-Ouest,Turbine à hydraulique,61,38.102
2020,Territoires du Nord-Ouest,Turbine éolienne,61,2.821
2020,Territoires du Nord-Ouest,Solaire,61,0.044
2020,Territoires du Nord-Ouest,Autres types de production électrique,61,0.0
2021,Canada,Turbine à hydraulique,,60.566
2021,Canada,Turbine marémotrice,,0.0
2021,Canada,Turbine éolienne,,5.498
2021,Canada,Solaire,,0.38
2021,Canada,Autres types de production électrique,,0.066
2021,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,97.084
2021,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,96.698
2021,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.386
2021,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.915
2021,Île-du-Prince-Édouard,Turbine éolienne,11,98.826
2021,Île-du-Prince-Édouard,Solaire,11,0.089
2021,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,22.061
2021,Nouvelle-Écosse,Turbine à hydraulique,12,8.365
2021,Nouvelle-Écosse,Turbine marémotrice,12,0.0
2021,Nouvelle-Écosse,Turbine éolienne,12,13.697
2021,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,27.443
2021,Nouveau-Brunswick,Turbine à hydraulique,13,21.27
2021,Nouveau-Brunswick,Turbine éolienne,13,6.173
2021,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2021,Québec,"Total, tous les genres de production d'électricité",24,99.004
2021,Québec,Turbine à hydraulique,24,93.945
2021,Québec,Turbine éolienne,24,5.055
2021,Québec,Solaire,24,0.004
2021,Québec,Autres types de production électrique,24,0.0
2021,Ontario,"Total, tous les genres de production d'électricité",35,33.572
2021,Ontario,Turbine à hydraulique,35,24.325
2021,Ontario,Turbine éolienne,35,7.683
2021,Ontario,Solaire,35,1.564
2021,Ontario,Autres types de production électrique,35,0.0
2021,Manitoba,"Total, tous les genres de production d'électricité",46,99.482
2021,Manitoba,Turbine à hydraulique,46,96.166
2021,Manitoba,Turbine éolienne,46,3.316
2021,Manitoba,Solaire,46,0.001
2021,Saskatchewan,"Total, tous les genres de production d'électricité",47,15.91
2021,Saskatchewan,Turbine à hydraulique,47,12.043
2021,Saskatchewan,Turbine éolienne,47,3.163
2021,Saskatchewan,Solaire,47,0.002
2021,Saskatchewan,Autres types de production électrique,47,0.702
2021,Alberta,"Total, tous les genres de production d'électricité",48,11.506
2021,Alberta,Turbine à hydraulique,48,2.892
2021,Alberta,Turbine éolienne,48,8.151
2021,Alberta,Solaire,48,0.145
2021,Alberta,Autres types de production électrique,48,0.318
2021,Colombie-Britannique,"Total, tous les genres de production d'électricité",59,91.236
2021,Colombie-Britannique,Turbine à hydraulique,59,88.745
2021,Colombie-Britannique,Turbine éolienne,59,2.487
2021,Colombie-Britannique,Solaire,59,0.003
2021,Colombie-Britannique,Autres types de production électrique,59,0.0
2021,Yukon,"Total, tous les genres de production d'électricité",60,88.551
2021,Yukon,Turbine à hydraulique,60,88.551
2021,Yukon,Turbine éolienne,60,0.0
2021,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",61,39.274
2021,Territoires du Nord-Ouest,Turbine à hydraulique,61,36.866
2021,Territoires du Nord-Ouest,Turbine éolienne,61,2.366
2021,Territoires du Nord-Ouest,Solaire,61,0.042
2021,Territoires du Nord-Ouest,Autres types de production électrique,61,0.0
