Year,Géographie,Industrie,GeoCode,Value
2015,Terre-Neuve-et-Labrador,Fabrication d'autres produits chimiques,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits en plastique et en caoutchouc,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits en plastique,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits en caoutchouc,10,
2015,Terre-Neuve-et-Labrador,Biens durables,10,1.47
2015,Terre-Neuve-et-Labrador,Fabrication de produits en bois,10,0.17
2015,Terre-Neuve-et-Labrador,Scieries et préservation du bois,10,
2015,Terre-Neuve-et-Labrador,"Fabrication de placages, de contreplaqués et de produits en bois reconstitué",10,
2015,Terre-Neuve-et-Labrador,Fabrication d'autres produits en bois,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits minéraux non métalliques,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits en argile et produits réfractaires,10,
2015,Terre-Neuve-et-Labrador,Fabrication de verre et de produits en verre,10,
2015,Terre-Neuve-et-Labrador,Fabrication de ciment et de produits en béton,10,0.14
2015,Terre-Neuve-et-Labrador,Fabrication de chaux et de produits en gypse,10,
2015,Terre-Neuve-et-Labrador,Fabrication d'autres produits minéraux non métalliques,10,
2015,Terre-Neuve-et-Labrador,Première transformation des métaux,10,
2015,Terre-Neuve-et-Labrador,Sidérurgie,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits en acier à partir d'acier acheté,10,
2015,Terre-Neuve-et-Labrador,Production et transformation d'alumine et d'aluminium,10,
2015,Terre-Neuve-et-Labrador,Production et transformation de métaux non ferreux (sauf l'aluminium),10,
2015,Terre-Neuve-et-Labrador,Fonderies,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits métalliques,10,0.41
2015,Terre-Neuve-et-Labrador,Forgeage et estampage,10,
2015,Terre-Neuve-et-Labrador,Fabrication de coutellerie et d'outils à main,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits d'architecture et d'éléments de charpentes métalliques,10,0.15
2015,Terre-Neuve-et-Labrador,"Fabrication de chaudières, de réservoirs et de contenants d'expédition",10,
2015,Terre-Neuve-et-Labrador,Fabrication d'articles de quincaillerie,10,
2015,Terre-Neuve-et-Labrador,Fabrication de ressorts et de produits en fil métallique,10,
2015,Terre-Neuve-et-Labrador,"Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",10,
2015,Terre-Neuve-et-Labrador,"Revêtement, gravure, traitement thermique et par le froid, et activités analogues",10,
2015,Terre-Neuve-et-Labrador,Fabrication d'autres produits métalliques,10,
2015,Terre-Neuve-et-Labrador,Fabrication de machines,10,
2015,Terre-Neuve-et-Labrador,"Fabrication de machines pour l'agriculture, la construction et l'extraction minière",10,0.07
2015,Terre-Neuve-et-Labrador,Fabrication de machines industrielles,10,
2015,Terre-Neuve-et-Labrador,Fabrication de machines pour le commerce et les industries de services,10,
2015,Terre-Neuve-et-Labrador,"Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",10,
2015,Terre-Neuve-et-Labrador,Fabrication de machines-outils pour le travail du métal,10,
2015,Terre-Neuve-et-Labrador,"Fabrication de moteurs, de turbines et de matériel de transmission de puissance",10,
2015,Terre-Neuve-et-Labrador,Fabrication d'autres machines d'usage général,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits informatiques et électroniques,10,
2015,Terre-Neuve-et-Labrador,Fabrication de matériel informatique et périphérique,10,
2015,Terre-Neuve-et-Labrador,Fabrication de matériel de communication,10,
2015,Terre-Neuve-et-Labrador,Fabrication de matériel audio et vidéo,10,
2015,Terre-Neuve-et-Labrador,Fabrication de semi-conducteurs et d'autres composants électroniques,10,
2015,Terre-Neuve-et-Labrador,"Fabrication d'instruments de navigation, de mesure et de commande et d'instruments médicaux",10,
2015,Terre-Neuve-et-Labrador,Fabrication et reproduction de supports magnétiques et optiques,10,
2015,Terre-Neuve-et-Labrador,"Fabrication de matériel, d'appareils et de composants électriques",10,
2015,Terre-Neuve-et-Labrador,Fabrication de matériel électrique d'éclairage,10,
2015,Terre-Neuve-et-Labrador,Fabrication d'appareils ménagers,10,
2015,Terre-Neuve-et-Labrador,Fabrication de matériel électrique,10,
2015,Terre-Neuve-et-Labrador,Fabrication d'autres types de matériel et de composants électriques,10,
2015,Terre-Neuve-et-Labrador,,10,0.25
2015,Terre-Neuve-et-Labrador,Fabrication de véhicules automobiles,10,
2015,Terre-Neuve-et-Labrador,Fabrication de carrosseries et de remorques de véhicules automobiles,10,
2015,Terre-Neuve-et-Labrador,Fabrication de pièces pour véhicules automobiles,10,
2015,Terre-Neuve-et-Labrador,Fabrication de produits aérospatiaux et de leurs pièces,10,
2015,Terre-Neuve-et-Labrador,Fabrication de matériel ferroviaire roulant,10,
2015,Terre-Neuve-et-Labrador,Construction de navires et d'embarcations,10,0.2
2015,Terre-Neuve-et-Labrador,Fabrication d'autres types de matériel de transport,10,
2015,Terre-Neuve-et-Labrador,Fabrication de meubles et de produits connexes,10,0.12
2015,Terre-Neuve-et-Labrador,Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine,10,
2015,Terre-Neuve-et-Labrador,Fabrication de meubles de bureau (y compris les articles d'ameublement),10,
2015,Terre-Neuve-et-Labrador,Fabrication d'autres produits connexes aux meubles,10,
2015,Terre-Neuve-et-Labrador,Activités diverses de fabrication,10,
2015,Terre-Neuve-et-Labrador,Fabrication de fournitures et de matériel médicaux,10,
2015,Terre-Neuve-et-Labrador,Autres activités diverses de fabrication,10,0.06
2015,Île-du-Prince-Édouard,Total de l’industrie manufacturière,11,7.67
2015,Île-du-Prince-Édouard,Biens non durables,11,5.03
2015,Île-du-Prince-Édouard,Fabrication d’aliments,11,3.59
