Year,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2008,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2008,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2008,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2010,Canada,Sources de déchets non résidentielles à des fins d'élimination,,9448165.0
2010,Canada,Sources de déchets résidentielles à des fins d'élimination,,15504250.0
2010,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,394235.0
2010,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,
2010,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,
2010,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2010,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2010,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2010,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,367246.0
2010,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,145589.0
2010,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,221657.0
2010,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,475265.0
2010,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,219486.0
2010,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,255779.0
2010,Québec,Toutes les sources de déchets à des fins d'élimination,24,5795707.0
2010,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2853189.0
2010,Québec,Sources de déchets résidentielles à des fins d'élimination,,2942518.0
2010,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9247415.0
2010,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3204264.0
2010,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6043151.0
2010,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,1020481.0
2010,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,453754.0
2010,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,566727.0
2010,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,937268.0
2010,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,283726.0
2010,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,653541.0
2010,Alberta,Toutes les sources de déchets à des fins d'élimination,48,3917492.0
2010,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1093155.0
2010,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2824337.0
2010,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2658271.0
2010,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,953761.0
2010,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1704510.0
2010,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2010,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2010,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2012,Canada,Sources de déchets non résidentielles à des fins d'élimination,,9684615.0
2012,Canada,Sources de déchets résidentielles à des fins d'élimination,,14996859.0
2012,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,391571.0
2012,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,
2012,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,
2012,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
